source,target,tgt_lng
Social Behavior,社会行为,
Advances in Experimental Social Psychology,Advances in Experimental Social Psychology,
Economic Sustainable Development,经济可持续发展,
Digital Skills Acquisition,数字技能获取,
Human Resource Leadership,人力资源领导力,
Perceived Leadership Styles,感知领导风格,
Employee Commitment,员工承诺,
International Journal of Humanities Education and Development,International Journal of Humanities Education and Development,
Rational Decision-Making,理性决策,
Social Responsibility,社会责任,
Optimal Functioning of the School,学校最优运作,
Cogent Social Sciences,Cogent Social Sciences,
Construction Conflict Prevention and Resolution,建筑冲突预防与解决,
Engineering,工程,
Organization Technology and Management in Construction,Organization Technology and Management in Construction,
Kaushal,Kaushal,
Kwantes,Kwantes,
Role of Culture and Personality in Choice of Conflict Management Strategy,文化与人格在冲突管理策略选择中的作用,
Int. J. Intercult. Relat.,国际跨文化关系杂志,
Qing,Qing,
Asif,Asif,
Hussain,Hussain,
Jameel,Jameel,
Rev. Manag. Sci.,管理科学评论,
Chin,Chin,
Team Perform. Manag. Int. J.,团队绩效管理国际杂志,
Samanta,Samanta,
Lamprakis,Lamprakis,
Leadership and Organisational Conflict Management: A Case Study of the Greek Public Sector,领导力与组织冲突管理：希腊公共部门案例研究,
Int. J. Bus. Process Integr. Manag.,国际业务流程集成管理杂志,
McLeod,McLeod,
Questionnaire,问卷,
Research Methods in Education,教育研究方法,
Routledge,Routledge,
New York,纽约,
USA,美国,
Brewer,Brewer,
Walker,Walker,
Public Adm. Rev.,公共行政评论,
Vermeeren,Vermeeren,
Kuipers,Kuipers,
Steijn,Steijn,
Rev. Public Pers. Adm.,公共人事管理评论,
Djamba,Djamba,
Review of Social Research Methods: Qualitative and Quantitative Approaches,社会研究方法评述：定性与定量方法,
Teach. Sociol.,教学社会学,
DeVellis,DeVellis,
Scale Development: Theory and Applications,量表开发：理论与应用,
SAGE,SAGE,
Thousand Oaks,千橡城,
Validity,效度,
Simply Psychology,简单心理学,
Patwa,Patwa,
Kee,Kee,
Yusliza,Yusliza,
Renwick,Renwick,
Springer Nature,施普林格·自然,
Singapore,新加坡,
Javeau,Javeau,
Conducting Research with Questionnaires,用问卷进行研究,
Saitis,Saitis,
Saiti,Saiti,
Framework & Management in Education,教育框架与管理,
Athens,雅典,
Papadopoulos,Papadopoulos,
Int. J. Eduvational Manag.,国际教育管理杂志,
Saris,Saris,
Gallhofer,Gallhofer,
"Design, Evaluation, and Analysis of Questionnaires for Survey Research",调查问卷的设计、评估与分析,
Wiley series in survey methodology,威利调查方法系列,
Wiley-Interscience,威利交叉科学,
Hoboken,霍博肯,
Bryant,Bryant,
Yarnold,Yarnold,
Principal-component analysis,主成分分析,
Exploratory and confirmatory factor analysis,探索性与验证性因子分析,
Reading and Understanding Multivariate Statistics,阅读与理解多元统计,
Grimm,Grimm,
American Psychological Association,美国心理学会,
Washington,华盛顿,
DC,哥伦比亚特区,
Nunnally,Nunnally,
Bernstein,Bernstein,
Psychometric Theory,心理测量理论,
McGraw-Hill series in psychology,麦格劳-希尔心理学系列,
McGraw-Hill,麦格劳-希尔,
Bornstein,Bornstein,
Jager,Jager,
Putnick,Putnick,
"Sampling in Developmental Science: Situations, Shortcomings, Solutions, and Standards",发展科学中的抽样：情境、缺陷、解决方案与标准,
Dev. Rev. DR,发展评论,
Razali,Razali,
Wah,Wah,
"Power Comparisons of Shapiro-Wilk, Kolmogorov-Smirnov, Lilliefors and Anderson-Darling Tests",Shapiro-Wilk、Kolmogorov-Smirnov、Lilliefors和Anderson-Darling检验的功效比较,
J. Stat. Model. Anal.,统计建模与分析杂志,
Royston,Royston,
Approximating the Shapiro-Wilk W-Test for Non-Normality,近似非正态性的Shapiro-Wilk W检验,
Stat. Comput.,统计计算,
Field,Field,
Discovering Statistics Using IBM SPSS Statistics,使用IBM SPSS Statistics发现统计,
SAGE Publications,SAGE出版公司,
Hayes,Hayes,
Methodology in the social sciences,社会科学方法论,
The Guilford Press,吉尔福德出版社,
Goldberg,Goldberg,
Riordan,Riordan,
Zhang,Zhang,
Employees’ Perceptions of Their Leaders: Is Being Similar Always Better?,员工对领导的感知：相似总是更好吗？,
Group Organ. Manag.,群体与组织管理,
Golubovic Stojanovic,Golubovic Stojanovic,
Radovic Markovic,Radovic Markovic,
Vujicic,Vujicic,
Stevanovic,Stevanovic,
Employees’ Perceptions of Their Leaders,员工对领导的感知,
Econ. Anal.,经济分析,
Modern Leadership Types and Outcomes: The Case of Greek Public Sector,现代领导类型与结果：希腊公共部门案例,
Manag. J. Contemp. Manag. Issues,管理杂志：当代管理问题,
Kottke,Kottke,
Pelletier,Pelletier,
Measuring and Differentiating Perceptions of Supervisor and Top Leader Ethics,衡量和区分对主管与高层领导伦理的感知,
J. Bus. Ethics,商业伦理杂志,
Alper,Alper,
Tjosvold,Tjosvold,
Law,Law,
"Conflict Management, Efficacy, and Performance in Organizational Teams",组织团队中的冲突管理、效能与绩效,
Pers. Psychol.,人事心理学,
empathy,同理心,
leader,领导者,
vision,愿景,
need for achievement,成就需求,
belief in values,价值观信念,
colleagues strengthening,同事赋能,
persuasion,说服,
positive communication,积极沟通,
team spirit,团队精神,
emotional intelligence,情商,
communication,沟通,
motivation,激励,
inspiring colleagues,鼓舞同事,
ability to change,变革能力,
job development skills,岗位发展技能,
need for social recognition,社会认可需求,
obsession,偏执,
discipline,纪律,
authoritarianism,威权主义,
severity,严厉,
compromise technique,妥协策略,
confrontation technique,对抗策略,
organizing technique,组织技巧,
conflict management techniques,冲突管理技术,
multiple linear model,多元线性模型,
variance,方差,
dependent variable,因变量,
"Richmond, V.P.","Richmond, V.P.",
"Wagner, J.P.","Wagner, J.P.",
"McCroskey, J.C.","McCroskey, J.C.",
"Soga, L.R.","Soga, L.R.",
"Bolade-Ogunfodun, Y.","Bolade-Ogunfodun, Y.",
"Amicis, A.D.","Amicis, A.D.",
Flexible Working Practices,灵活工作实践,
Digital Divide,数字鸿沟,
Post-Lockdown Era,后封锁时代,
"Andersen, L.","Andersen, L.",
"Jørgensen, T.","Jørgensen, T.",
"Kjeldsen, A.","Kjeldsen, A.",
"Pedersen, L.","Pedersen, L.",
"Vrangbaek, K.","Vrangbaek, K.",
Public Values,公共价值,
Public Service Motivation,公共服务动机,
"Perry, J.L.","Perry, J.L.",
"Wise, L.R.","Wise, L.R.",
Motivational Bases of Public Service,公共服务动机基础,
"Asif, A.","Asif, A.",
"Rathore, K.","Rathore, K.",
Behavioral Drivers of Performance,绩效的行为驱动因素,
Public-Sector Organizations,公共部门组织,
"Ahmad, S.","Ahmad, S.",
GHRM Process,绿色人力资源管理过程,
Green Human Resource Management,绿色人力资源管理,
"Fisher, R.J.","Fisher, R.J.",
Interactive Conflict Resolution,互动式冲突解决,
Peacemaking,和平建设,
"Soieb, A.Z.M.","Soieb, A.Z.M.",
"Othman, J.","Othman, J.",
"D'Silva, J.L.","D'Silva, J.L.",
Organizational Citizenship Behaviour,组织公民行为,
"Barrett, D.J.","Barrett, D.J.",
Strong Communication Skills,强沟通技能,
"Chen, G.","Chen, G.",
"Liu, C.","Liu, C.",
"Tjosvold, D.","Tjosvold, D.",
Top Management Teams,高层管理团队,
Innovation in China,中国创新,
"Backhaus, L.","Backhaus, L.",
"Vogel, R.","Vogel, R.",
Leadership in the Public Sector,公共部门领导力,
"Clarke, N.","Clarke, N.",
Project Manager Competences,项目经理能力,
"Morse, R.","Morse, R.",
Collaborative Leadership Development,协作领导力发展,
Local Government Officials,地方政府官员,
"Chan, K.W.","Chan, K.W.",
"Huang, X.","Huang, X.",
"Ng, P.M.","Ng, P.M.",
Managers’ Conflict Management Styles,管理者冲突管理风格,
Employee Attitudinal Outcomes,员工态度结果,
"Saeed, T.","Saeed, T.",
"Almas, S.","Almas, S.",
"Anis-ul-Haq, M.","Anis-ul-Haq, M.",
"Niazi, G.","Niazi, G.",
"Goleman, D.","Goleman, D.",
"Boyatzis, R.","Boyatzis, R.",
"McKee, A.","McKee, A.",
Power of Emotional Intelligence,情商的力量,
Organizational Management,组织管理,
Leadership Theories,领导力理论,
Aristotelian Rhetorician,亚里士多德修辞学家,
Modern Leader,现代领导者,
"Usman, M.","Usman, M.",
Transformational Leadership and Organizational Change,变革型领导与组织变革,
"Colbert, A.E.","Colbert, A.E.",
"Barrick, M.R.","Barrick, M.R.",
"Bradley, B.H.","Bradley, B.H.",
Personality And Leadership Composition,人格与领导力构成,
Organizational Effectiveness,组织有效性,
"Deichmann, D.","Deichmann, D.",
"Stam, D.","Stam, D.",
Leveraging Transformational and Transactional Leadership,利用变革型与交易型领导,
Organization-Focused Ideas,组织导向创意,
"Mizser, C.","Mizser, C.",
Conflict Management and Leadership Styles,冲突管理与领导风格,
Future Leaders,未来领导者,
"Du, J.","Du, J.",
"Ma, E.","Ma, E.",
"Lin, X.","Lin, X.",
Diverse Teams,多元化团队,
Team Faultlines,团队断层线,
"Pizzolitto, E.","Pizzolitto, E.",
"Verna, I.","Verna, I.",
"Venditti, M.","Venditti, M.",
Authoritarian Leadership Styles,威权领导风格,
Performance,绩效,
"Hicks, H.","Hicks, H.",
"Powell, J.","Powell, J.",
"Management, Organizations, and Human Resources",管理、组织与人力资源,
"Liao, Y.","Liao, Y.",
"Suriyankietkaew, S.","Suriyankietkaew, S.",
"Krittayaruangroj, K.","Krittayaruangroj, K.",
"Iamsawan, N.","Iamsawan, N.",
Sustainable Leadership Practices,可持续领导力实践,
Competencies of SMEs,中小企业能力,
Sustainability and Resilience,可持续性与韧性,
Community-Based Social Enterprise,社区型社会企业,
"Avery, G.C.","Avery, G.C.",
"Bergsteiner, H.","Bergsteiner, H.",
Honeybees & Locusts,蜜蜂与蝗虫,
Business Case for Sustainable Leadership,可持续领导力的商业案例,
Sustainable Leadership and Entrepreneurship,可持续领导力与创业,
Corporate Sustainability in Small Enterprises,小型企业的企业可持续性,
google forms,Google表单,
Likert scale,李克特量表,
use of authority,权威运用,
content validity,内容效度,
Factor analysis,因子分析,
Equamax rotation,等量最大旋转,
eigenvalue criterion,特征值准则,
conceptual construct validity,概念建构效度,
Cronbach Alpha coefficient,克朗巴赫α系数,
internal consistency reliability,内部一致性信度,
exploratory factor analysis,探索性因子分析,
"Iqbal, Q.","Iqbal, Q.",
"Ahmad, N.H.","Ahmad, N.H.",
"Nasim, A.","Nasim, A.",
"Khan, S.A.R.","Khan, S.A.R.",
Psychological Empowerment,心理授权,
Sustainable Performance,可持续绩效,
J. Clean. Prod.,J. Clean. Prod.,
"Getha-Taylor, H.","Getha-Taylor, H.",
"Holmes, M.H.","Holmes, M.H.",
"Jacobson, W.S.","Jacobson, W.S.",
"Morse, R.S.","Morse, R.S.",
"Sowa, J.E.","Sowa, J.E.",
Public Leadership,公共领导力,
Minnowbrook Tradition,Minnowbrook传统,
J. Public Adm. Res. Theory,J. Public Adm. Res. Theory,
"Orazi, D.","Orazi, D.",
"Turrini, A.","Turrini, A.",
"Valotti, G.","Valotti, G.",
Public Sector Leadership,公共部门领导力,
Int. Rev. Adm. Sci.,Int. Rev. Adm. Sci.,
"Khan, M.L.","Khan, M.L.",
"Langove, N.","Langove, N.",
"Shah, F.A.","Shah, F.A.",
"Javid, M.U.","Javid, M.U.",
Modes of Conflicts,冲突模式,
Managerial Leadership Styles,管理领导风格,
Glob. Bus. Manag. Res. Int. J.,Glob. Bus. Manag. Res. Int. J.,
"Dwivedi, Y.K.","Dwivedi, Y.K.",
Public Administration Reformation,公共行政改革,
"Oxfordshire, UK",英国牛津郡,
"Rainey, H.G.","Rainey, H.G.",
Understanding and Managing Public Organizations,理解与管理公共组织,
John Wiley & Sons,John Wiley & Sons,
"Hoboken, NJ, USA",美国新泽西州霍博肯,
"Piccolo, R.F.","Piccolo, R.F.",
"Colquitt, J.A.","Colquitt, J.A.",
Job Behaviors,工作行为,
Core Job Characteristics,核心工作特征,
Acad. Manage. J.,Acad. Manage. J.,
"Sahu, S.","Sahu, S.",
"Pathardikar, A.","Pathardikar, A.",
Managing Conflict,冲突管理,
Collaborative Style,协作风格,
Delhi Bus. Rev.,Delhi Bus. Rev.,
"Ang’ana, G.A.","Ang’ana, G.A.",
"Kilika, J.M.","Kilika, J.M.",
J. Hum. Resour. Leadersh.,J. Hum. Resour. Leadersh.,
"Maalouf, G.Y.","Maalouf, G.Y.",
Organizational Performance,组织绩效,
Int. J. Multidiscip. Res. Dev.,Int. J. Multidiscip. Res. Dev.,
"Van Wart, M.","Van Wart, M.",
Administrative Leadership Theory,行政领导理论,
Public Adm.,Public Adm.,
"Carter, M.M.","Carter, M.M.",
Importance of Collaborative Leadership,协作领导力的重要性,
State Justice Inst.,State Justice Inst.,
"Pellegrini, E.K.","Pellegrini, E.K.",
"Scandura, T.A.","Scandura, T.A.",
"Jayaraman, V.","Jayaraman, V.",
Cross-Cultural Generalizability,跨文化普适性,
Paternalistic Leadership,家长式领导,
Leader-Member Exchange Theory,领导-成员交换理论,
"Chen, Y.","Chen, Y.",
"Tang, G.","Tang, G.",
"Jin, J.","Jin, J.",
"Xie, Q.","Xie, Q.",
"Li, J.","Li, J.",
Product Innovation Performance,产品创新绩效,
Corporate Entrepreneurship,公司创业,
Technology Orientation,技术导向,
J. Prod. Innov. Manag.,J. Prod. Innov. Manag.,
"Obi, I.-M.","Obi, I.-M.",
"Bollen, K.","Bollen, K.",
"Aaldering, H.","Aaldering, H.",
"Euwema, M.C.","Euwema, M.C.",
Servant Leadership,服务型领导,
Third-Party Conflict Behavior,第三方冲突行为,
Convents,修道院,
Int. J. Confl. Manag.,Int. J. Confl. Manag.,
"McFarlin, D.","McFarlin, D.",
"Sweeney, P.D.","Sweeney, P.D.",
International Management,国际管理,
Strategic Opportunities & Cultural Challenges,战略机遇与文化挑战,
"O’Connor, C.J.","O’Connor, C.J.",
Sustaining Power-Sharing,维持权力共享,
Bureaucracy,官僚制,
Bureaucrat,官僚,
University of Exeter,埃克塞特大学,
"Exeter, NH, USA",美国新罕布什尔州埃克塞特,
"Bersin, J.","Bersin, J.",
How Does Leadership Vary Across the Globe?,全球领导力如何变化？,
Forbes,福布斯,
"Chamorro-Premuzic, T.","Chamorro-Premuzic, T.",
New Ways to Gauge Talent and Potential,衡量人才与潜力的新方法,
A Manager’s Guide to the New World of Work,新工作世界管理者指南,
Sloan Management Review,斯隆管理评论,
MIT,麻省理工学院,
"Cambridge, MA, USA",美国马萨诸塞州剑桥,
"Gunkel, M.","Gunkel, M.",
"Schlaegel, C.","Schlaegel, C.",
"Taras, V.","Taras, V.",
Conflict Handling Styles,冲突处理风格,
J. World Bus.,J. World Bus.,
"Owusu-Kyei, M.","Owusu-Kyei, M.",
"Kong, Y.","Kong, Y.",
"Owusu Akomeah, M.","Owusu Akomeah, M.",
"Owusu Afriyie, S.","Owusu Afriyie, S.",
Total Quality Management,全面质量管理,
Customer Satisfaction,客户满意度,
Telecom Industry,电信行业,
TQM–SERVQUAL Perspective,TQM-SERVQUAL视角,
Businesses,商业,
"Shen, Y.","Shen, Y.",
"Chou, W.-J.","Chou, W.-J.",
"Schaubroeck, J.M.","Schaubroeck, J.M.",
Relational Identification,关系认同,
Workgroup Cultural Values,工作群体文化价值观,
Eur. J. Work Organ. Psychol.,Eur. J. Work Organ. Psychol.,
"Kuhlmann, S.","Kuhlmann, S.",
"Wollmann, H.","Wollmann, H.",
Introduction to Comparative Public Administration,比较公共行政导论,
Administrative Systems and Reforms in Europe,欧洲行政体系与改革,
Edward Elgar Publishing,Edward Elgar Publishing,
"Cheltenham, UK",英国切尔滕纳姆,
"Hattke, F.","Hattke, F.",
"Znanewitz, J.","Znanewitz, J.",
Red Tape,繁文缛节,
Civic Duty,公民责任,
Career Intention,职业意向,
Military,军事,
Public Manag. Rev.,Public Manag. Rev.,
"Menon, M.E.","Menon, M.E.",
Crisis,危机,
School Leaders,学校领导者,
Eur. J. Educ. Manag.,Eur. J. Educ. Manag.,
"Goula, A.","Goula, A.",
"Stamouli, M.-A.","Stamouli, M.-A.",
"Latsou, D.","Latsou, D.",
"Gkioka, V.","Gkioka, V.",
"Kyriakidou, N.","Kyriakidou, N.",
Learning Organizational Culture,学习型组织文化,
Greek Public Hospitals,希腊公立医院,
Int. J. Environ. Res. Public. Health,Int. J. Environ. Res. Public. Health,
"Kalogiannidis, S.","Kalogiannidis, S.",
"Kontsas, S.","Kontsas, S.",
"Chatzitheodoridis, F.","Chatzitheodoridis, F.",
Managerial Styles,管理风格,
Employee Productivity,员工生产力,
Bank Sector Employees,银行部门员工,
WSEAS Trans. Environ. Dev.,WSEAS Trans. Environ. Dev.,
"Belias, D.","Belias, D.",
"Rossidis, I.","Rossidis, I.",
"Lazarakis, P.","Lazarakis, P.",
"Mantas, C.","Mantas, C.",
"Ntalakos, A.","Ntalakos, A.",
Organizational Factors,组织因素,
Greek Tourism Services,希腊旅游服务,
Corp. Bus. Strategy Rev.,Corp. Bus. Strategy Rev.,
decision making,决策,
Greek health care employees,希腊医疗保健员工,
transformational management styles,变革型管理风格,
democratic management styles,民主型管理风格,
global financial market competition,全球金融市场竞争,
strategic leadership,战略领导力,
work commitment,工作承诺,
Kaushal & Kwantes,Kaushal & Kwantes,
culture,文化,
individualism,个人主义,
collectivism,集体主义,
leadership,领导力,
private sector,私营部门,
non-profit sectors,非营利部门,
hierarchical leadership styles,层级领导风格,
cooperation,合作,
horizontal leadership,横向领导力,
team settings,团队环境,
organizational level,组织层级,
organizational structure,组织结构,
conflict management practices,冲突管理实践,
hierarchical relationships,层级关系,
decision-making processes,决策过程,
trust dynamics,信任动态,
conflict resolution preferences,冲突解决偏好,
organizational behavior,组织行为,
organizational context,组织环境,
cultural environment,文化环境,
analytical framework,分析框架,
leadership practices,领导实践,
hierarchical organizations,层级组织,
authority,权威,
communication styles,沟通风格,
institutional environment,制度环境,
bureaucratic environment,官僚环境,
Performance policies,绩效政策,
performance criteria,绩效标准,
organization effectiveness,组织效能,
employees needs,员工需求,
accountability,问责制,
formal conflict management resolution process,正式冲突管理解决流程,
operational efficiency,运营效率,
"Jung et al., (2020)",Jung 等人（2020）,
strategic management approach,战略管理方法,
empowered employees,赋权员工,
firm performance,企业绩效,
perceptual gaps,认知差距,
communication skills,沟通技能,
empathy skills,共情技能,
resolution process,解决流程,
training programs,培训项目,
collaborative leadership styles,协作型领导风格,
transformational leadership styles,变革型领导风格,
negotiation tactics,谈判策略,
mediation simulation,调解模拟,
mentoring,导师制,
leadership coaching,领导力辅导,
open lines of communication,开放的沟通渠道,
feedback mechanisms,反馈机制,
active listening,积极倾听,
open dialogue environment,开放对话环境,
bureaucratic environments,官僚环境,
cultural contexts,文化背景,
organizational contexts,组织背景,
workplace harmony,工作场所和谐,
Limitations-Suggestions,局限与建议,
Public Works of the Region of Central Macedonia,中马其顿地区公共工程局,
sample size,样本量,
statistical tests,统计检验,
"J. Cohen, 2013",J. Cohen（2013）,
GPower,GPower,
Mann Whitney test,曼-惠特尼检验,
leadership questionnaire,领导力问卷,
generalization,推广,
correlation research,相关性研究,
experimental studies,实验研究,
sustainability principles,可持续发展原则,
leadership strategies,领导策略,
resilience,韧性,
adaptability,适应性,
workplace dynamics,工作场所动态,
manager-employee relationship,管理者-员工关系,
performance outcomes,绩效结果,
Richmond et al. (1983),Richmond 等人 (1983),
employee-focused leadership style,以员工为中心的领导风格,
consultative leadership style,咨询型领导风格,
participative leadership style,参与型领导风格,
satisfaction,满意度,
solidarity,团结,
communication anxiety,沟通焦虑,
service quality,服务质量,
Asif and Rathore (2021),Asif 和 Rathore (2021),
human resource decision,人力资源决策,
service delivery,服务交付,
conflicts,冲突,
bureaucratic structure,官僚结构,
stakeholders,利益相关者,
communication process,沟通过程,
managerial decisions,管理决策,
mutual trust,相互信任,
Backhaus and Vogel (2022),Backhaus 和 Vogel (2022),
public organization,公共组织,
cooperative leadership style,合作型领导风格,
joint decision making,联合决策,
mutual respect,相互尊重,
problem solving,问题解决,
mutually beneficial solutions,互惠互利解决方案,
team coordination,团队协调,
change and transformation,变革与转型,
followers,追随者,
common goal,共同目标,
long-term solutions,长期解决方案,
organizational well-being,组织福祉,
sustainable practices,可持续实践,
innovation,创新,
productive work environment,高效工作环境,
Triantari,Triantari,
transformational leader,变革型领导者,
organizational culture,组织文化,
internal trust,内部信任,
organization's performance,组织绩效,
Du et al.,Du等,
authoritarian leader,威权型领导者,
long-term value,长期价值,
social and environmental sustainability,社会与环境可持续性,
long-term success,长期成功,
Iqbal et al.,Iqbal等,
sustainable leaders,可持续领导者,
sustainable behaviors,可持续行为,
resilient organizational culture,韧性组织文化,
long-term vision,长期愿景,
personal development,个人发展,
sustainable growth,可持续增长,
sustainable workplace culture,可持续工作场所文化,
sustainable leadership principles,可持续领导力原则,
long-term organizational success,长期组织成功,
position of responsibility,责任职位,
employee empowerment,员工赋权,
work performance,工作绩效,
Samanta and Lamprakis research survey (2018),Samanta与Lamprakis研究调查（2018年）,
"Goldberg, Riordan & Zhang (2008)",Goldberg、Riordan与Zhang（2008年）,
Kanavas & Triantari et al. (2024),Kanavas与Triantari等人（2024年）,
employee communication,员工沟通,
organizational climate,组织氛围,
Kottke & Pelletier (2013),Kottke与Pelletier（2013年）,
conflict effectiveness,冲突有效性,
Saeed et al. (2014),Saeed等人（2014年）,
interpersonal conflicts,人际冲突,
Chan et al. (2008),Chan等人（2008年）,
care,关怀,
respect,尊重,
Getha-Taylor et al.,Getha-Taylor 等人,
leadership studies,领导力研究,
public administration research,公共管理研究,
public managers,公共管理者,
Orazi et al.,Orazi 等人,
transactional leadership,交易型领导,
Khan et al.,Khan 等人,
leadership/managerial style,领导/管理风格,
Rainey,Rainey,
bureaucratic constraints,官僚约束,
ambiguous goals,模糊目标,
organizational visions,组织愿景,
Dwivedi,Dwivedi,
public organizations,公共组织,
service-oriented missions,服务导向使命,
community-focused missions,社区导向使命,
Van Wart,Van Wart,
third model of public sector leadership,公共部门领导力第三模式,
hierarchical model,层级模式,
public choice model,公共选择模式,
democratic accountability,民主问责,
facilitative leadership,促进型领导,
public values leadership,公共价值领导,
financial sustainability,财务可持续性,
authoritarian leaders,威权型领导,
hierarchical control,层级控制,
subordinates,下属,
trust in leadership,领导信任,
Obi et al.,Obi 等人,
convenience sampling,便利抽样,
external validity,外部效度,
biases,偏差,
non-random selection,非随机选择,
non-representative,非代表性,
overrepresented,过度代表,
statistical significance,统计显著性,
public sector employees,公共部门雇员,
Public Works,公共工程,
cultural influences,文化影响,
bureaucratic and hierarchical structure,官僚与等级结构,
high-power distance,高权力距离,
cross-cultural studies,跨文化研究,
Public Works Departments,公共工程部门,
Municipalities,市,
Prefectures,行政区,
organizational levels,组织层级,
local authority,地方当局,
Comparative perspective,比较视角,
leadership literature,领导力文献,
hierarchical roles,层级角色,
transformational leadership style,变革型领导风格,
avoidance technique,回避技巧,
workplace productivity,工作场所生产力,
Leadership Academy,领导力学院,
