source,target,tgt_lng
Edisi Keempat,第四版,
Salemba Empat,萨伦巴安帕特出版社,
"Octavia, Lenny","Octavia, Lenny",
Analisis Sistem Pengendalian Internal Aset Tetap pada PT Perkebunan Nusantara III (Persero) Medan,北苏门答腊第三种植园有限公司（国有企业）棉兰公司固定资产内部控制系统的分析,
PT Perkebunan Nusantara III,北苏门答腊第三种植园有限公司,
Persero,国有企业,
Medan,棉兰,
Repository Universitas HKBP NOMMENSEN,HKBP NOMMENSEN 大学库,
Sabirin,Sabirin,
Perguruan Tinggi Negeri Berbadan Hukum,国有法人高校,
JAAKFE,JAAKFE,
Vol.10 (2),第10卷第2期,
"Siboro, P. T.","Siboro, P. T.",
Sistem Pengendalian Internal Aset Tetap di PT. Arenda Nuansa Berlian,阿伦达纽安萨贝里安有限公司的固定资产内部控制系统,
PT. Arenda Nuansa Berlian,阿伦达纽安萨贝里安有限公司,
"Wang, J.","Wang, J.",
Approaches of Improving University Assets Management Efficiency,提高高校资产管理效率的方法,
International Journal of Higher Education,国际高等教育杂志,
Vol. 4 (4),第4卷第4期,
"Welsch, Hilton, & Gordon","Welsch, Hilton, & Gordon",
Anggaran Perencanaan dan Pengendalian Laba,利润规划与控制预算,
Purwaningsih,Purwaningsih,
W. Maudy,W. Maudy,
"3ndInternational Conference of Health, Science and Technology",第三届健康、科学与技术国际会议,
e-ISSN,电子国际标准刊号,
Flowchart Fixed Asset Receipt,固定资产接收流程图,
Assets Management Universitas Duta Bangsa Surakarta,杜塔班萨大学苏拉卡尔塔校区资产管理处,
handover of goods,货物交接,
proof of supporting transactions,交易支持凭证,
Letter Street,发货单,
partner,合作伙伴,
tool controller,控制工具,
Letter Request Purchase,采购申请单,
Manager asset,资产经理,
minutes of the handover of goods,货物交接记录,
disposition of assets,资产处置,
asset labeling,资产标识,
inventory numbering,库存编号,
procedure asset labeling,资产标识程序,
SOPs,标准操作程序,
organic management functions,有机管理职能,
planning,规划,
organizing,组织,
actuating,执行,
controlling,控制,
POAC,POAC,
Human resources,人力资源,
authorization and responsibility,授权与责任,
Octavia,Octavia,
authorization and responsibility table,授权与责任表,
acquisition of fixed assets,固定资产购置,
stock taking schedule fixed assets,固定资产盘点计划,
semester,学期,
means infrastructure faculty,院系基础设施部门,
internal auditor,内部审计师,
Flow chart Procurement Fixed Assets,固定资产采购流程图,
asset procurement stage,资产采购阶段,
price quote,报价,
request for quote (PP),询价单 (PP),
letter of offer of goods/services (SPB/J),商品/服务报价函 (SPB/J),
Purchase Request Letter (SPP),采购申请信 (SPP),
buying process,采购流程,
Ely,Ely,
Sri,Sri,
Akuntansi Keuangan,财务会计,
Yogyakarta,日惹,
Penerbit Graha Ilmu,格拉哈伊尔穆出版社,
