source,target,tgt_lng
proportional integral controller,比例积分控制器,
fixed-speed wind turbine,定速风力涡轮机,
grey wolf optimizer,灰狼优化器,
Int. J. Electr. Comput. Eng.,Int. J. Electr. Comput. Eng.,
Orthogonal simulated annealing,正交模拟退火,
multiobjective optimization,多目标优化,
Comput. Chem. Eng.,Comput. Chem. Eng.,
J. Oper. Res. Soc.,J. Oper. Res. Soc.,
Ant colony,蚁群,
feedback controller,反馈控制器,
soft-starter fed induction motor drive,软启动供电的感应电机驱动,
case-based reasoning,案例推理,
water quality assessment,水质评估,
International Conference on Advanced Intelligent System and Informatics,国际先进智能系统与信息学会议,
AISI2015,AISI2015,
"Beni Suef, Egypt",埃及贝尼苏韦夫,
POPMUSIC,POPMUSIC,
partial optimization metaheuristic,部分优化元启发式,
Essays and Surveys in Metaheuristics,元启发式论文与综述,
Metaheuristics: from Design to Implementation,元启发式：从设计到实现,
John Wiley & Sons,John Wiley & Sons,
MIMO processes,多输入多输出过程,
improved particle swarm optimization,改进粒子群优化,
Circuits Syst. Signal Process.,电路系统与信号处理,
multivariable on-line adaptive PID controller,多变量在线自适应PID控制器,
auto-tuning neurons,自调谐神经元,
Eng. Appl. Artif. Intell.,工程应用人工智能,
PID controller for automatic voltage regulator,自动电压调节器PID控制器,
teaching–learning based optimization technique,教与学优化技术,
Int. J. Electr. Power Energy Syst.,国际电力能源系统杂志,
analytic network process,分析网络过程,
turbo particle swarm optimization algorithm,涡轮粒子群优化算法,
non-balanced supply chain planning,非平衡供应链规划,
supplier relationship management,供应商关系管理,
Trans. Inst. Meas. Control,测量与控制学会会刊,
Reliability design optimization of composite structures,复合材料结构可靠性设计优化,
PSO,粒子群优化,
FEA,有限元分析,
Chin. J. Aeronaut.,中国航空学报,
WOA-based optimization approach,基于鲸鱼优化算法的优化方法,
task scheduling in cloud computing systems,云计算系统中的任务调度,
IEEE Syst. J.,IEEE系统杂志,
Quadratic interpolation,二次插值,
teaching-learning-based optimization,教与学优化,
chemical dynamic system optimization,化学动态系统优化,
Knowl.-Based Syst.,基于知识的系统,
Teaching-learning-based optimization with learning enthusiasm mechanism,具有学习热情机制的教与学优化,
chemical engineering,化学工程,
J. Appl. Math.,应用数学杂志,
enhanced particle swarm optimization algorithm,增强粒子群优化算法,
antiaircraft fire distribution,防空火分配,
Ordnance Ind. Autom.,兵工自动化,
Metaheuristics,元启发式,
Tuning PID controller using multiobjective ant colony optimization,使用多目标蚁群优化整定PID控制器,
Appl. Comput. Intell. Soft Comput.,应用计算智能与软计算,
Optimizing tactical military manets,优化战术军事移动自组网,
specialized pso,专用粒子群优化,
IEEE Congress on Evolutionary Computation,IEEE进化计算大会,
Cat swarm optimization,猫群优化,
Pacific Rim International Conference on Artificial Intelligence,环太平洋国际人工智能会议,
Transforming geocentric Cartesian coordinates to geodetic coordinates,地心笛卡尔坐标到大地坐标的转换,
differential search algorithm,差分搜索算法,
Comput. Geosci.,计算机与地球科学,
Theoretical consideration of retarded control,延迟控制的理论考虑,
Trans. Am. Soc. Mech. Eng.,美国机械工程师学会会刊,
evolutionary algorithms toward spacecraft attitude control,航天器姿态控制的进化算法,
Advances in Spacecraft Attitude Control,航天器姿态控制进展,
scatter search evolutionary algorithm,分散搜索进化算法,
3d image registration,三维图像配准,
Pattern Recognit. Lett.,模式识别快报,
Meta-heuristic optimization techniques,元启发优化技术,
robotics,机器人学,
Recent Advances on Meta-Heuristics and Their Application to Real Scenarios,元启发式算法及其在真实场景中的应用最新进展,
Accelerated simulated annealing algorithm,加速模拟退火算法,
flexible job shop scheduling problem,柔性作业车间调度问题,
Int. Trans. Oper. Res.,国际运筹学交易,
Primal-dual asynchronous particle swarm optimisation,原始-对偶异步粒子群优化,
hybrid metaheuristic algorithm,混合元启发算法,
global optimisation problems,全局优化问题,
Am. J. Eng. Res.,美国工程研究杂志,
hybrid primal-dual-PSO,混合原始-对偶粒子群优化,
swarm robotics flocking strategy,群机器人聚集策略,
Second International Conference on Computing Technology and Information Management,第二届计算技术与信息管理国际会议,
PDPSO,PDPSO,
primal-dual interior point method,原始-对偶内点法,
particle swarm optimization algorithm,粒子群优化算法,
Malays. J. Comput. Sci.,马来西亚计算机科学杂志,
multi-robot pattern formation,多机器人模式形成,
Int. J. Adv. Res. Comput. Sci. Tech.,国际计算机科学与技术高级研究杂志,
Optimal tuning of PID controller using GWO algorithm,使用灰狼优化算法优化整定PID控制器,
speed control in DC motor,直流电机速度控制,
International Conference on Soft Computing Techniques and Implementations,软计算技术与实现国际会议,
Bacterial foraging optimization algorithm,细菌觅食优化算法,
Foundations of Computational Intelligence,计算智能基础,
bio inspired meta heuristic based clustering protocols,基于生物启发元启发式的聚类协议,
wireless sensor networks,无线传感器网络,
"IOP Conf. Ser., Mater. Sci. Eng.",IOP会议系列：材料科学与工程,
Load frequency control,负荷频率控制,
non-integer type PID controller,非整数型PID控制器,
WOA,WOA,
"IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems",IEEE电力电子、智能控制与能源系统国际会议,
Meta-heuristic algorithms in medical image segmentation,医学图像分割中的元启发算法,
Advancements in Applied Metaheuristic Computing,应用元启发式计算进展,
Chaotic artificial bee colony algorithm,混沌人工蜂群算法,
system identification,系统辨识,
small-scale unmanned helicopter,小型无人直升机,
Int. J. Aerosp. Eng.,国际航空航天工程杂志,
tuning of PID controller for industrial process,工业过程PID控制器整定,
soft computing techniques,软计算技术,
Int. J. Pure Appl. Math.,国际纯粹与应用数学杂志,
PID optimization for automatic voltage regulator,自动电压调节器的PID优化,
Int. J. Eng. Sci. Res. Tech.,国际工程科学研究与技术杂志,
new generation metaheuristic algorithms,新一代元启发式算法,
Comput. Ind. Eng.,计算机与工业工程,
Hybrid optimization algorithm,混合优化算法,
wolf pack search,狼群搜索,
local search,局部搜索,
traveling salesman problem,旅行商问题,
J. Shanghai Jiaotong Univ.,上海交通大学学报,
Donyagard Vahed,Donyagard Vahed,
Ghobaei-Arani,Ghobaei-Arani,
Souri,Souri,
Int. J. Commun. Syst.,International Journal of Communication Systems,
Dorigo,Dorigo,
"Optimization, learning and natural algorithms",优化、学习与自然算法,
Politecnico di Milano,米兰理工大学,
Italy,意大利,
Birattari,Birattari,
Stutzle,Stutzle,
Ant colony optimization,蚁群优化,
IEEE Comput. Intell. Mag.,IEEE Computational Intelligence Magazine,
Maniezzo,Maniezzo,
Colorni,Colorni,
Ant system,蚁群系统,
"IEEE Trans. Syst. Man Cybern., Part B, Cybern.","IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",
DrEO,DrEO,
Aumasson,Aumasson,
Tfaili,Tfaili,
Siarry,Siarry,
Adaptive learning search,自适应学习搜索,
Eberhart,Eberhart,
Kennedy,Kennedy,
A new optimizer using particle swarm theory,使用粒子群理论的新优化器,
MHS'95. Proceedings of the Sixth International Symposium on Micro Machine and Human Science,第六届微机械与人类科学国际研讨会论文集,
Eglese,Eglese,
Eur. J. Oper. Res.,European Journal of Operational Research,
El-Deen,El-Deen,
Mahmoud,Mahmoud,
El-Sawi,El-Sawi,
Optimal PID tuning for DC motor speed controller based on genetic algorithm,基于遗传算法的直流电机速度控制器最优PID整定,
Int. Rev. Autom. Control,International Review of Automatic Control,
El-Telbany,El-Telbany,
Tuning PID controller for DC motor,直流电机PID控制器整定,
artificial bees optimization,人工蜂群优化,
Int. J. Comput. Appl.,International Journal of Computer Applications,
Elhosseini,Elhosseini,
Haikal,Haikal,
Badawy,Badawy,
Khashan,Khashan,
Biped robot stability based on an A-C parametric whale optimization algorithm,基于A-C参数鲸鱼优化算法的双足机器人稳定性,
J. Comput. Sci.,Journal of Computer Science,
Elshaer,Elshaer,
Awad,Awad,
Elsrogy,Elsrogy,
Fkirin,Fkirin,
Hassan,Hassan,
Speed control of DC motor using PID controller based on artificial intelligence techniques,基于人工智能技术的PID控制器直流电机速度控制,
"2013 International Conference on Control, Decision and Information Technologies. CoDIT",2013年控制、决策与信息技术国际会议,
Emary,Emary,
Zawbaa,Zawbaa,
Grosan,Grosan,
Hassenian,Hassenian,
Feature subset selection approach by gray-wolf optimization,基于灰狼优化的特征子集选择方法,
Afro-European Conference for Industrial Advancement,非洲-欧洲工业进步会议,
Hassanien,Hassanien,
Binary grey wolf optimization approaches for feature selection,用于特征选择的二元灰狼优化方法,
Neurocomputing,Neurocomputing,
Emmanuel,Emmanuel,
Inyiama,Inyiama,
A survey of controller design methods for a robot manipulator in harsh environments,恶劣环境下机器人机械臂控制器设计方法综述,
Eur. J. Eng. Technol.,European Journal of Engineering and Technology,
Eshtay,Eshtay,
Faris,Faris,
Obeid,Obeid,
Expert Syst. Appl.,专家系统与应用,
Expósito-Izquierdo,Expósito-Izquierdo,
Expósito-Márquez,Expósito-Márquez,
A survey of the cuckoo search and its applications in real-world optimization problems,布谷鸟搜索及其在现实世界优化问题中的应用综述,
Handbook of Research on Soft Computing and Nature-Inspired Algorithms,软计算与自然启发算法研究手册,
IGI Global,IGI Global,
Farmer,Farmer,
Packard,Packard,
Perelson,Perelson,
"The immune system, adaptation, and machine learning",免疫系统、适应与机器学习,
Physica D,Physica D,
Findik,Findik,
Bull optimization algorithm based on genetic operators for continuous optimization problems,基于遗传算子的公牛优化算法用于连续优化问题,
Turk. J. Electr. Eng. Comput. Sci.,Turkish Journal of Electrical Engineering and Computer Sciences,
Fister,Fister,
Fister Jr.,Fister Jr.,
Šafariˇc,Šafariˇc,
Parameter tuning of PID controller with reactive nature-inspired algorithms,基于反应性自然启发算法的PID控制器参数整定,
Robot. Auton. Syst.,Robotics and Autonomous Systems,
Yang,Yang,
Cuckoo search,布谷鸟搜索,
Cuckoo Search and Firefly Algorithm,布谷鸟搜索与萤火虫算法,
Fonseca,Fonseca,
Fleming,Fleming,
Genetic algorithms for multiobjective optimization,多目标优化的遗传算法,
Icga,Icga,
Citeseer,Citeseer,
Fouskakis,Fouskakis,
Draper,Draper,
Stochastic optimization,随机优化,
Int. Stat. Rev.,International Statistical Review,
Fraga-Gonzalez,Fraga-Gonzalez,
Fuentes-Aguilar,Fuentes-Aguilar,
Garcia-Gonzalez,Garcia-Gonzalez,
Sanchez-Ante,Sanchez-Ante,
Adaptive simulated annealing for tuning PID controllers,用于PID控制器整定的自适应模拟退火,
AI Commun.,AI Communications,
Freeman,Freeman,
Krstic,Krstic,
Kokotovic,Kokotovic,
Robustness of adaptive nonlinear control to bounded uncertainties,自适应非线性控制对有界不确定性的鲁棒性,
Automatica,Automatica,
Pun,Pun,
Gao,Gao,
Mob. Netw. Appl.,Mobile Networks and Applications,
Gandomi,Gandomi,
Alavi,Alavi,
Krill herd,磷虾群,
Commun. Nonlinear Sci. Numer. Simul.,Communications in Nonlinear Science and Numerical Simulation,
Chaotic bat algorithm,混沌蝙蝠算法,
Talatahari,Talatahari,
Firefly algorithm with chaos,混沌萤火虫算法,
Ganguly,Ganguly,
Sahoo,Sahoo,
Das,Das,
Fuzzy Sets Syst.,Fuzzy Sets and Systems,
Garpinger,Garpinger,
Hägglund,Hägglund,
Åström,Åström,
Performance and robustness trade-offs in PID control,PID控制的性能与鲁棒性权衡,
J. Process Control,Journal of Process Control,
Geem,Geem,
Solution quality improvement in chiller loading optimization,冷水机组负荷优化中的解质量改进,
Appl. Therm. Eng.,Applied Thermal Engineering,
Kim,Kim,
Loganathan,Loganathan,
A new heuristic optimization algorithm: harmony search,一种新的启发式优化算法：和声搜索,
Simulation,Simulation,
Gharehchopogh,Gharehchopogh,
Gholizadeh,Gholizadeh,
A comprehensive survey: whale optimization algorithm and its applications,综合综述：鲸鱼优化算法及其应用,
Swarm Evol. Comput.,群体进化计算,
Gholap,Gholap,
Naik Dessai,Naik Dessai,
Bagyaveereswaran,Bagyaveereswaran,
PID controller tuning using metaheuristic optimization algorithms for benchmark problems,基于元启发式优化算法的基准问题PID控制器整定,
Mater. Sci. Eng. Conf. Ser.,Materials Science and Engineering Conference Series,
Ghosal,Ghosal,
Darbar,Darbar,
Neogi,Neogi,
Tibarewala,Tibarewala,
Application of swarm intelligence computation techniques in PID controller tuning,群体智能计算技术在PID控制器整定中的应用,
"Abdel-Basset, M.","Abdel-Basset, M.",
"Abdel-Fatah, L.","Abdel-Fatah, L.",
"Sangaiah, A.K.","Sangaiah, A.K.",
Metaheuristic algorithms,元启发式算法,
Computational Intelligence for Multimedia Big Data on the Cloud with Engineering Applications,云上多媒体大数据工程应用的计算智能,
"Abraham, A.","Abraham, A.",
"Nedjah, N.","Nedjah, N.",
"de Macedo Mourelle, L.","de Macedo Mourelle, L.",
Evolutionary computation,进化计算,
genetic algorithms,遗传算法,
genetic programming,遗传编程,
Genetic Systems Programming,遗传系统编程,
"Abu-Mouti, F.S.","Abu-Mouti, F.S.",
"El-Hawary, M.E.","El-Hawary, M.E.",
artificial bee colony (ABC) algorithm,人工蜂群算法,
2012 IEEE International Systems Conference SysCon 2012,2012年IEEE国际系统会议SysCon 2012,
"Abualigah, L.M.","Abualigah, L.M.",
"Khader, A.T.","Khader, A.T.",
"Hanandeh, E.S.","Hanandeh, E.S.",
"Gandomi, A.H.","Gandomi, A.H.",
clustering techniques,聚类技术,
"Adhirai, S.","Adhirai, S.",
"Mahapatra, R.","Mahapatra, R.",
"Singh, P.","Singh, P.",
whale optimization algorithm,鲸鱼优化算法,
Matlab,Matlab,
Int. J. Comput. Inf. Eng.,国际计算机与信息工程杂志,
"Adubi, S.A.","Adubi, S.A.",
"Misra, S.","Misra, S.",
ant colony optimization algorithms,蚁群优化算法,
"2014 11th International Conference on Electronics, Computer and Computation",2014年第11届电子、计算机与计算国际会议,
ICECCO,ICECCO,
"Agarwal, J.","Agarwal, J.",
"Parmar, G.","Parmar, G.",
"Gupta, R.","Gupta, R.",
"Sikander, A.","Sikander, A.",
fractional order PID controller,分数阶PID控制器,
speed control of DC motor,直流电机速度控制,
Microsyst. Technol.,微系统技术,
"Agarwal, S.","Agarwal, S.",
"Yadav, D.","Yadav, D.",
"Verma, A.","Verma, A.",
speed control of PMSM drive,永磁同步电机驱动速度控制,
bacterial foraging optimization,细菌觅食优化,
UPCON,UPCON,
"Agrawal, V.","Agrawal, V.",
"Sharma, H.","Sharma, H.",
"Bansal, J.C.","Bansal, J.C.",
Proceedings of the International Conference on Soft Computing for Problem Solving,软计算解决问题国际会议论文集,
SocProS 2011,SocProS 2011,
"Akbarzadeh, A.","Akbarzadeh, A.",
"Shadkam, E.","Shadkam, E.",
cuckoo optimization algorithm,布谷鸟优化算法,
production planning problem,生产计划问题,
arXiv,arXiv,
"Al-Azza, A.A.","Al-Azza, A.A.",
"Al-Jodah, A.A.","Al-Jodah, A.A.",
"Harackiewicz, F.J.","Harackiewicz, F.J.",
Spider monkey optimization (SMO),蜘蛛猴优化,
2016 IEEE Radio and Wireless Symposium,2016年IEEE无线电与无线研讨会,
RWS,RWS,
"Al-Betar, M.A.","Al-Betar, M.A.",
"Awadallah, M.A.","Awadallah, M.A.",
"Faris, H.","Faris, H.",
"Yang, X.-S.","Yang, X.-S.",
"Alomari, O.A.","Alomari, O.A.",
Bat-inspired algorithms,蝙蝠启发算法,
natural selection mechanisms,自然选择机制,
"Al-Tashi, Q.","Al-Tashi, Q.",
"Kadir, S.J.A.","Kadir, S.J.A.",
"Rais, H.M.","Rais, H.M.",
"Mirjalili, S.","Mirjalili, S.",
"Alhussian, H.","Alhussian, H.",
Binary optimization,二元优化,
hybrid grey wolf optimization,混合灰狼优化,
feature selection,特征选择,
IEEE Access,IEEE Access,
"Alam, M.S.","Alam, M.S.",
"Singh, A.","Singh, A.",
"Guha, D.","Guha, D.",
load frequency control problem,负荷频率控制问题,
oppositional krill herd algorithm,对立磷虾群算法,
"2016 IEEE First International Conference on Control, Measurement and Instrumentation",2016年IEEE第一届控制、测量与仪器国际会议,
CMI,CMI,
"Alba, E.","Alba, E.",
"Luque, G.","Luque, G.",
"Nesmachnow, S.","Nesmachnow, S.",
Parallel metaheuristics,并行元启发式,
"Algabalawy, M.A.","Algabalawy, M.A.",
"Abdelaziz, A.Y.","Abdelaziz, A.Y.",
"Mekhamer, S.F.","Mekhamer, S.F.",
"Aleem, S.H.A.","Aleem, S.H.A.",
hybrid power generation systems,混合发电系统,
sine cosine optimization algorithm,正弦余弦优化算法,
J. Electr. Syst. Inf. Technol.,电气系统与信息技术杂志,
"Ali, A.","Ali, A.",
"Majhi, S.","Majhi, S.",
bacterial foraging strategy,细菌觅食策略,
2006 IEEE International Conference on Industrial Technology,2006年IEEE工业技术国际会议,
"Alikhani, A.","Alikhani, A.",
"Suratgar, A.A.","Suratgar, A.A.",
"Nouri, K.","Nouri, K.",
"Nouredanesh, M.","Nouredanesh, M.",
"Salimi, S.","Salimi, S.",
Optimal PID tuning,最优PID整定,
"2nd International Conference on Control, Instrumentation, and Automation",第二届控制、仪器与自动化国际会议,
"de Almeida, B.S.G.","de Almeida, B.S.G.",
"Leite, V.C.","Leite, V.C.",
Swarm Intelligence,群体智能,
IntechOpen,IntechOpen,
Rijeka,里耶卡,
"Alqudah, A.","Alqudah, A.",
"Malkawi, A.","Malkawi, A.",
"Alwadie, A.","Alwadie, A.",
Adaptive control of DC-DC converter,DC-DC变换器自适应控制,
simulated annealing optimization method,模拟退火优化方法,
J. Signal Inf. Process.,信号与信息处理杂志,
"Alsmadi, M.K.","Alsmadi, M.K.",
Query-sensitive similarity measure,查询敏感相似度度量,
content-based image retrieval,基于内容的图像检索,
meta-heuristic algorithm,元启发式算法,
"J. King Saud Univ., Comput. Inf. Sci.",沙特国王大学学报：计算机与信息科学,
"Amaral, J.M.","Amaral, J.M.",
"Tanscheit, R.","Tanscheit, R.",
"Pacheco, M.A.","Pacheco, M.A.",
Tuning PID controllers,PID控制器整定,
"Ang, K.H.","Ang, K.H.",
"Chong, G.","Chong, G.",
"Li, Y.","Li, Y.",
PID control system,PID控制系统,
IEEE Trans. Control Syst. Technol.,IEEE控制系统技术汇刊,
"Annisa, J.","Annisa, J.",
"Darus, I.Z.M.","Darus, I.Z.M.",
"Tokhi, M.O.","Tokhi, M.O.",
"Mohamaddan, S.","Mohamaddan, S.",
PID based controller,基于PID的控制器,
evolutionary algorithm,进化算法,
double link flexible robotic manipulator,双连杆柔性机器人机械臂,
2018 International Conference on Computational Approach in Smart Systems Design and Applications,2018年智能系统设计与应用计算方法国际会议,
ICASSDA,ICASSDA,
"Anthony, K.","Anthony, K.",
"Ho, P.","Ho, P.",
Fundamental of PID control,PID控制基础,
pdhonline,pdhonline,
"Arora, S.","Arora, S.",
"Singh, S.","Singh, S.",
Butterfly optimization algorithm,蝴蝶优化算法,
Soft Comput.,软计算,
"Åström, K.J.","Åström, K.J.",
"Hägglund, T.","Hägglund, T.",
Automatic tuning of simple regulators,简单调节器自动整定,
phase and amplitude margins,相位裕度和幅值裕度,
"PID Controllers: Theory, Design, and Tuning",PID控制器：理论、设计与整定,
Instrument Society of America,美国仪器学会,
"Triangle Park, NC",北卡罗来纳州三角研究园,
Ziegler–Nichols step response method,齐格勒-尼科尔斯阶跃响应法,
"Atashpaz-Gargari, E.","Atashpaz-Gargari, E.",
"Lucas, C.","Lucas, C.",
Imperialist competitive algorithm,帝国主义竞争算法,
2007 IEEE Congress on Evolutionary Computation,2007年IEEE进化计算大会,
"Azad, A.S.","Azad, A.S.",
"Vasant, P.","Vasant, P.",
"Watada, J.","Watada, J.",
"Al Sokkalingam, R.","Al Sokkalingam, R.",
Meta-heuristic approaches,元启发式方法,
optimization of hydropower energy,水电能源优化,
Handbook of Research on Smart Technology Models for Business and Industry,商业与工业智能技术模型研究手册,
"Jain, M., Singh, V., Rani, A.","Jain, M., Singh, V., Rani, A.",
squirrel search algorithm,松鼠搜索算法,
"N., Gupta, R., Parmar, G.","N., Gupta, R., Parmar, G.",
Int. J. Adv. Electr. Electron. Eng.,国际高级电气与电子工程杂志,
"James, J., Li, V.O.","James, J., Li, V.O.",
