source,target,tgt_lng
Minneapolis Park System 1883-1944,明尼阿波利斯公园系统（1883-1944）,
Theodore Wirth,Theodore Wirth,
"Desfor, Gene","Desfor, Gene",
Urban Waterfront Industry: Planning and Development,城市滨水区产业：规划与发展,
Green Enterprises for the 21st Century Symposium Report,21世纪绿色企业研讨会报告,
Minister of Supply and Services Canada,加拿大供应与服务部,
parkway,公园道,
Waterfront Drive Open House,滨水大道开放日,
Winnipeggers,温尼伯人,
safety,安全,
lighting,照明,
design,设计,
waterfront connections,滨水连接,
design principles,设计原则,
precedents,先例,
contextual fit,文脉契合,
context,语境,
urban context,城市语境,
cultural setting,文化环境,
natural setting,自然环境,
social setting,社会环境,
physical setting,物理环境,
heritage values,遗产价值,
ecological fit,生态契合,
contextualism,语境主义,
Gestalt theory,格式塔理论,
law of similarity,相似律,
visual continuity,视觉连续性,
street pattern,街道模式,
building mass,建筑体量,
architectural style,建筑风格,
colors and materials,颜色和材料,
Breen and Rigby,布林与里格比,
Lang,朗,
Claflen,克拉夫伦,
Regionalism and Urban Design,地区主义与城市设计,
Van Nostrand Reinhold,Van Nostrand Reinhold,
Waterfront Drive,滨水大道,
Provencher Bridge,普罗旺谢桥,
Higgins,希金斯,
Amy Street Steam Plant,艾米街蒸汽厂,
Victoria Park,维多利亚公园,
Psychological barriers,心理障碍,
waterfront areas,滨水区域,
public access,公共通道,
public right-of-way,公共通行权,
San Francisco,旧金山,
waterfront zoning regulations,滨水区划条例,
pedestrian walkway,人行道,
City of Portland,波特兰市,
river trail,河畔步道,
Grand Haven,格兰德黑文,
riverfront boardwalk,河滨木板路,
maintenance,维护,
urban waterfront,城市滨水区,
Alex Krieger,Alex Krieger,
North American cities,北美城市,
V/innipeg,温尼伯,
Jan Gehl,扬·盖尔,
Jon Lang,Jon Lang,
Richard Marshall,Richard Marshall,
Waterfront in Post-Industrial Cities,《后工业城市中的滨水区》,
Spon Press,Spon Press,
"Martin, Thomas J.","Martin, Thomas J.",
Adaptive Use,适应性使用,
Washington D.C.,华盛顿特区,
ULI- the Urban Land Institute,ULI-城市土地学会,
"McQuade, Walter","McQuade, Walter",
Architectural Forum,建筑论坛,
"Mintzberg, Henry","Mintzberg, Henry",
The Rise and Fall of Strategic Planning,战略规划的兴衰,
Free Press,自由出版社,
"Mumford, Lewis","Mumford, Lewis",
"The City in History: Its Origins, Its Transformations, and Its Prospects",历史上的城市：起源、转型与前景,
Harcourt Brace Jovanovich,Harcourt Brace Jovanovich,
"Nelessen, Anton Clarence","Nelessen, Anton Clarence",
"O'Brien, David","O'Brien, David",
Winnipeg Free Press,温尼伯自由报,
Planning Department,规划部门,
Heritage Conservation - Regulatory Overview,遗产保护-监管概览,
"Punter, John","Punter, John",
Liverpool,利物浦,
Liverpool University Press,利物浦大学出版社,
"Shirvani, Hamid","Shirvani, Hamid",
Urban Design Process,城市设计过程,
Van Nostrand Reinhold Company Inc.,Van Nostrand Reinhold公司,
The Exchange Partnership & the Exchange Community,交易区合作伙伴与交易区社区,
The Exchange District Strategic Action Plan,交易区战略行动计划,
Exchange District Business Improvement Zone,交易区商业改善区,
The President's Council on Recreation and Natural Beauty,总统休闲与自然美景委员会,
From Sea to Shining Sea: a Report on the American Environment - Our Natural Heritage,从海到光辉之海：美国环境报告——我们的自然遗产,
Thibert Event & Associated Management (TEAM),Thibert活动及相关管理,
Waterfront Drive open House: Tabulation and Analysis of Public Input,滨水大道开放日：公众意见汇总与分析,
"Trancik, Roger","Trancik, Roger",
Finding Lost Space: Theories of Urban Design,寻找失落空间：城市设计理论,
Exchange District,交易区,
Historic Buildings By-Law,历史建筑条例,
Downtown Winnipeg Zoning By-Law,温尼伯市中心区划条例,
Winnipeg Core Area Initiative,温尼伯核心区倡议,
Exchange District Strategic Action Plan,交易区战略行动计划,
North Main Area,北主区,
North Main Task Force,北主区工作组,
Neeginan,Neeginan,
Main Street,主街,
Manitoba Museum of Man and Nature,马尼托巴人与自然博物馆,
Cleveland,Cleveland,
Minneapolis,Minneapolis,
river,河流,
railway transportation,铁路运输,
19th century,19世纪,
railroad,铁路,
residents,居民,
highway transportation,公路运输,
air transportation,航空运输,
containerization,集装箱化,
railroad trackage,铁路轨道,
mills,工厂,
factories,厂房,
urban waterfronts,城市滨水区,
Montreal,Montreal,
Cincinnati,Cincinnati,
Alexander'Waterfront District (AIVD),亚历山大滨水区（AIVD）,
Downtown Winnipeg,温尼伯市中心,
Chinatown,唐人街,
Disraeli Freeway,迪斯雷利高速公路,
Red River,红河,
residential neighborhood,住宅区,
commercial warehouse,商业仓库,
industrial district,工业区,
Manitoba Theater Center,马尼托巴剧院中心,
Pantages Theater,潘塔吉斯剧院,
First World War,第一次世界大战,
Chicago-Style,芝加哥风格,
Heritage Conservation Department of the City of Winnipeg,温尼伯市遗产保护部门,
Building Conservation List,建筑保护名录,
Historic Building Inventory,历史建筑目录,
Historical Buildings Committee,历史建筑委员会,
heritage conservation,遗产保护,
waterfront redevelopment projects,滨水区再开发项目,
National Historic Preservation Act,国家历史保护法案,
National Register of Historic Places,国家历史名胜名录,
Quincy Market,昆西市场,
Terminal Warehouse Building,终点仓库大厦,
back-to-the-city movement,回归城市运动,
Toronto's Harborfront,多伦多港前区,
Granville Island,格兰维尔岛,
False Creek,福溪,
Vancouver,温哥华,
Baltimore's Inner Harbor,巴尔的摩内港,
Boston's Central Waterfront,波士顿中央滨水区,
San Francisco Waterfront,旧金山滨水区,
From Sea to Shining Sea: a Report on the American Environment- Our Natural Heritage,从海到光辉的海：美国环境报告——我们的自然遗产,
Lake Winnipeg,温尼伯湖,
Red and Assiniboine River,红河与阿西尼博因河,
Promenade Tache,塔什长廊,
The Forks Historic Port,福克斯历史港口,
Manitoba Legislative Building,马尼托巴省立法大楼,
Osborne Village,奥斯本村,
Corydon Ave. BIZ,科里登大道商业改善区,
Paddlewheel River Rouge Tours,明轮红河之旅,
Scots Monument,苏格兰人纪念碑,
Fort Douglas,道格拉斯堡,
Selkirk Settlers,塞尔柯克定居者,
Thomas Douglas,托马斯·道格拉斯,
Earl of Selkirk,塞尔柯克伯爵,
Manitoba,马尼托巴省,
Canada,加拿大,
thistle,蓟花,
John Hirsch Place,约翰·赫希广场,
Bannatyne Ave.,班纳坦大道,
Market Ave.,市场大道,
post-modernists,后现代主义者,
abstraction,抽象,
built form,建成形式,
urban solids,城市实体,
urban voids,城市虚空,
Trancik,Trancik,
Ralph Erskine,Ralph Erskine,
organic order,有机秩序,
regional context,区域文脉,
new classicists,新古典主义者,
formal interventions,形式干预,
symmetry,对称,
perspective,透视,
urban space,城市空间,
collages,拼贴,
urban form,城市形态,
indigenous urban form,本土城市形态,
village-like space,村落式空间,
urban design,城市设计,
city's structure,城市结构,
climate impacts,气候影响,
building orientation,建筑朝向,
covered walkways,有顶人行道,
ground floors,底层,
glass enclosed,玻璃封闭,
summer,夏季,
settlement,聚落,
Lynch,林奇,
fit,契合度,
spatial and temporal pattern,时空模式,
customary behavior,惯常行为,
inhabitants,居民,
match between action and form,行动与形式的匹配,
behavior settings,行为场景,
behavior circuits,行为回路,
waterfront constituency,滨水区利益相关者,
waterfront urban context,滨水城市背景,
Wrenn,雷恩,
primary group,主要群体,
residence,居住地,
place of work,工作场所,
recreation resource,休闲资源,
secondary group,次要群体,
water's edge,水岸,
public resource,公共资源,
constituency,利益相关者群体,
user groups,使用群体,
development policies,开发政策,
vacancy rate,空置率,
under-used,未充分利用,
Wrenn identified,雷恩识别出的,
waterfront proposal,滨水区方案,
behavior patterns,行为模式,
public participation,公众参与,
development process,开发过程,
Georgetown waterfront,乔治敦滨水区,
"Washington, D.C.",华盛顿特区,
commercial uses,商业用途,
objections,反对意见,
MIT,麻省理工学院,
Urban Waterfront Development,《城市滨水区开发》,
ULI-the Urban Land Institute,城市土地学会,
waterfronts,滨水区,
downtown districts,市中心区,
working waterfront,功能性滨水区,
industrial uses,工业用途,
Environmental soundness,环境友好性,
waterfront industries,滨水工业,
symposium,研讨会,
criteria,标准,
local community,当地社区,
tax benefit,税收收益,
tourists,游客,
docking,靠泊,
loading and unloading of ships,船舶装卸,
teaching and research programs,教学与研究项目,
professional groups,专业团体,
students,学生,
fishing pier,渔码头,
Provincetown,普罗温斯敦,
whale-watch boats,观鲸船,
fishing vessels,渔船,
recreational facilities,休闲设施,
restaurants,餐厅,
shopping streets,商业街,
commercial museum,商业博物馆,
entertaining and learning experiences,娱乐与学习体验,
Mixed but not messy,混合但不混乱,
mixed uses,混合用途,
mutually exclusive,互斥,
Main Street North,Main Street North,
1991 census,1991年人口普查,
demographic census,人口普查,
neighborhood boundary,社区边界,
John Hirsch,John Hirsch,
paths,路径,
edges,边缘,
districts,区域,
nodes,节点,
landmarks,地标,
water intake building,取水建筑,
Lily Street,百合街,
young professionals,年轻专业人士,
empty nester,空巢老人,
post-secondary students,大专学生,
Red River College downtown campus,红河学院市中心校区,
transportation costs,交通成本,
multi-culturalism,多元文化主义,
community involvement,社区参与,
December 2001,2001年12月,
intemational design competition,国际设计竞赛,
2002,2002年,
Canwest Global Park,Canwest Global Park,
Higgins Ave.,希金斯大道,
May 2001 Open House,2001年5月开放日,
Appendix B,附录B,
KGS Group,KGS Group,
June 2001,2001年6月,
CPR rail line,加拿大太平洋铁路线,
Waterfront Committee,滨水委员会,
CentrePlan,CentrePlan,
CentreVenture Development Corporation,CentreVenture开发公司,
CanWest Global Baseball Park,CanWest全球棒球场,
Higgins Avenue,Higgins大道,
City's Department of Public Works,市公共工程部,
Downtown,市中心,
Mayor Glen Murray,市长Glen Murray,
Strategic location,战略位置,
downtown office district,市中心办公区,
Civic Centre,市政中心,
the Forks,福克斯,
waterbus connections,水上巴士连接,
Compact urban form,紧凑城市形态,
street width-height ratio,街宽高比,
industrial and warehouse uses,工业和仓储用途,
vacant lands,空地,
pedestrian walkways,人行道,
sidewalk conditions,人行道状况,
pedestrians,行人,
old buildings,老旧建筑,
poor maintenance,维护不善,
AWD's image,AWD形象,
east-west roads,东西向道路,
lack of safety,缺乏安全感,
public uses,公共用途,
surveillance,监控,
private ownership,私人所有权,
coordinated development,协同发展,
informants,受访者,
strengths,优势,
weaknesses,劣势,
limited pedestrian access,有限的行人通道,
inappropriate industrial and warehouse uses,不适宜的工业和仓储用途,
limited resident population,有限的居民人口,
poor general physical image,整体物理形象差,
cultural facilities,文化设施,
theater district,剧院区,
Portage-Main intersection,Portage-Main交叉口,
French Quarter,法国区,
Nestawe'ya (Three Points),Nestawe'ya（三点）,
Aboriginal people,原住民,
Mosaic Market,马赛克市场,
The City of Winnipeg,温尼伯市,
recreational activities,娱乐活动,
riverfront park,河滨公园,
picnic shelters/tables/BBQ pits,野餐亭/野餐桌/烧烤坑,
boatltaxidocking,船只/水上出租车停靠,
stands/kiosks for buskers/artists/vendors,街头艺人/艺术家/摊贩摊位/售货亭,
festivals/programming,节日/节目安排,
building uses,建筑用途,
AWD's boundary,滨水大道开发区边界,
residential,住宅,
bars and entertainment facilities,酒吧和娱乐设施,
sidewalk cafêlpastry shops/small unique boutique retail,路边咖啡馆/糕点店/小型特色精品零售,
office space,办公空间,
free concerts/festivals/entertainment,免费音乐会/节日/娱乐活动,
mixed-use development,混合用途开发,
aesthetic landscaping,景观美化,
environmental effects,环境影响,
destruction of green space,绿地破坏,
riverbank vegetation,河岸植被,
exhaust fumes,废气,
traffic noise,交通噪音,
riverbank destabilization,河岸失稳,
response,反馈,
character and design,特色与设计,
adjacent lands,毗邻地块,
activity,活动,
free programming/entertainment,免费节目/娱乐,
small*scale vendors and kiosks,小型摊贩和售货亭,
adequate security and parking,充足的安保和停车设施,
weekends and evenings,周末和晚间,
ACKNOWLEDGMENTS,致谢,
ABSTRACT,摘要,
TABLE OF CONTENTS,目录,
LIST OF FIGURES,图列表,
LIST OF TABLES,表列表,
Introduction,引言,
Research Problem and Objectives,研究问题与目标,
Research Strategy,研究策略,
Research Questions,研究问题,
Research Tactics,研究策略,
Research Process,研究过程,
Study Limitations,研究局限性,
Organization of Document,文档结构,
Urban Waterfront Planning and Design,城市滨水区规划与设计,
City Development,城市发展,
Making Waterfront Connections: Design Principles and Precedents,构建滨水联系：设计原则与先例,
Visual Connections,视觉联系,
Diverse Public Uses,多样化公共用途,
Public Safety,公共安全,
Summary,总结,
The Alexander Waterfront District,亚历山大滨水区,
Historic Perspective,历史视角,
Physical Characteristics,物理特征,
Current Land Uses and Ownership,当前土地利用与所有权,
Circulation,交通流线,
Heritage Features,遗产特征,
General Image and Visual Analysis,总体形象与视觉分析,
Demographic Condition,人口状况,
Main Sheet North,主区北部,
Evaluation of Previous and Ongoing Development Projects,既往及当前开发项目评估,
Development Initiatives,开发倡议,
Recent Public Survey,近期公众调查,
Steven Juba Park,史蒂文·朱巴公园,
parkland,公园绿地,
housing development,住宅开发,
hotel,酒店,
entertainment facility,娱乐设施,
economic stimulus,经济刺激,
parking lots,停车场,
commercial,商业,
public amenity spaces,公共设施空间,
low income,低收入,
people place,人气聚集地,
fiscal aspect,财政方面,
investment,投资,
funding system,资金体系,
incentives,激励措施,
old structures,旧建筑,
Public recreational use,公共休闲使用,
waterfront park,滨水公园,
local residents,当地居民,
specialty shops,特色商店,
historic preservation,历史保护,
street lighting,街道照明,
information kiosks,信息亭,
telephone booths,电话亭,
public restrooms,公共卫生间,
benches,长椅,
trash receptacles,垃圾桶,
Residential uses,住宅用途,
Open space,开放空间,
Gateway places,门户空间,
Cultural and recreational use area,文化和娱乐使用区,
Water edge amphitheater,水边露天剧场,
Activity nodes,活动节点,
Optional activities,自发性活动,
Axial connection place,轴向连接空间,
Pedestrian-oriented,以行人导向,
Axial pedestrian walkway,轴向步行道,
Riverfront pedestrian path,河滨步行道,
Public transit route,公共交通线路,
Street network,街道网络,
Life Between Buildings: Using Public Space,《交往与空间》,
Respecting the heritage values,尊重遗产价值,
heritage,遗产,
restoration,修复,
renovation,翻新,
heritage buildings,历史建筑,
Toronto's Harbourfront,多伦多港前区,
poured-in-place concrete structures,现浇混凝土结构,
adaptive reuse,适应性再利用,
Harbourfront redevelopment,港前区再开发,
Achieving ecological fit,实现生态契合,
natural resources,自然资源,
ecological system,生态系统,
conservation,保护,
protection,保护,
ecological inventories,生态调查,
soil-suitability study,土壤适宜性研究,
water quality assessment,水质评估,
flood effect,洪水影响,
waterfront planning,滨水规划,
waterfront natural assets,滨水自然资源,
greenways,绿道,
riparian greenways,滨河绿道,
United States,美国,
urban waterfront areas,城市滨水区,
New York State,纽约州,
Hudson River Valley Greenway,哈德逊河谷绿道,
Toronto Harbourfront,多伦多港区,
Petersburg,彼得斯堡,
Florida,佛罗里达,
Million Dollar Pier,百万美元码头,
Miami,迈阿密,
Dodge Island,道奇岛,
Biscayne Bay,比斯坎湾,
Oshkosh,奥什科什,
Wisconsin,威斯康星,
Fox River,福克斯河,
St. Louis,圣路易斯,
waterfront redevelopment,滨水区再开发,
real estate,房地产,
tourism economy,旅游经济,
Calgary,卡尔加里,
Buffalo,布法罗,
Minneapolis St. Paul,明尼阿波利斯-圣保罗,
1980s,1980年代,
1990s,1990年代,
commercial projects,商业项目,
residential projects,住宅项目,
recreational projects,休闲项目,
mixed-use projects,混合用途项目,
downtown revitalization,市中心振兴,
Braunfels,布劳恩费尔斯,
Western Europe,西欧,
Chicago,芝加哥,
Pacific Ave.,太平洋大道,
Rupert Ave.,鲁珀特大道,
McDermott Ave.,麦克德莫特大道,
Lily St.,莉莉街,
Rorie Street,罗里街,
Lombard Avenue,隆巴德大道,
transit routes,公交线路,
Victoria and Colony Gardens,维多利亚与殖民地花园,
James Avenue,詹姆斯大道,
Parks Board of the City,市公园委员会,
Ross family,罗斯家族,
Winnipeg General Strike,温尼伯大罢工,
Ross House,罗斯故居,
Red River Frame,红河框架,
Market Avenue,市场大道,
William Ross,威廉·罗斯,
Manitoba Historical Society,马尼托巴历史学会,
Joe Zuken Heritage Park,乔·祖肯遗产公园,
Point Douglas,道格拉斯角,
Meade Street,米德街,
Sutherland Avenue,萨瑟兰大道,
Euclid Avenue,欧几里得大道,
Fig.16,图16,
Appendix A,附录A,
Amy Street Stream Plant,艾米街蒸汽厂,
World War II,第二次世界大战,
containenzation,集装箱化,
Pittsburgh waterfront,匹兹堡滨水区,
Breen,Breen,
Rigby,Rigby,
Waterfronts: Cities Reclaim Their Edge,《滨水区：城市重塑边缘》,
Alexander VVaterfront District,亚历山大滨水区,
Winnipeg's Downtown,温尼伯市中心,
Water Intake Structure,取水构筑物,
George Avenue,乔治大道,
Alexander Ross,亚历山大·罗斯,
Red River Colony,红河殖民地,
Alexander Avenue,亚历山大大道,
Colony Gardens,殖民地花园,
Joe Zuken Park,乔·祖肯公园,
Brueau of Travel and Publicity,旅游与宣传局,
Department of Industry and Commerce,工商部,
Safety perception,安全感知,
sense of place,场所感,
Design Concept Framework,设计概念框架,
built setting,建成环境,
development goals,发展目标,
land uses,土地利用,
historic buildings,历史建筑,
waterfront amenities,滨水设施,
pedestrian-friendly open spaces,步行友好的开放空间,
urban husbandry,城市保育,
Gratz,Gratz,
The Living City,The Living City,
rejuvenation,更新,
historic architecture,历史建筑,
structurally-sound buildings,结构完好的建筑,
Uppsala,乌普萨拉,
Malardeleu,梅拉尔代勒,
Central Sweden,瑞典中部,
Cincinnati riverfront,辛辛那提滨河区,
New York City,纽约市,
Market Square,市场广场,
Winnipeg Chinatown,温尼伯唐人街,
Winnipeg French Quarter,温尼伯法式区,
floor area bonus distribution model,容积率奖励分配模型,
Pittsburgh,匹兹堡,
steamboat,蒸汽船,
18th century,18世纪,
Dallas,达拉斯,
Denver,丹佛,
rail yards,铁路站场,
industrial hub,工业中心,
shipping facilities,航运设施,
1960s,20世纪60年代,
Renewal of Waterfront Areas,滨水区更新,
AITD,AITD,
crime,犯罪,
services,服务,
businesses,商业,
reuse,再利用,
affordability,可负担性,
condos,公寓,
affordable housing,可负担住房,
family sizes,家庭规模,
capital grants,资本补助,
government,政府,
rent controls,租金管制,
community services,社区服务,
grocery stores,杂货店,
local shopping centers,本地购物中心,
builders,建筑商,
potential residents,潜在居民,
business community,商业社区,
project funding,项目资金,
boardwalk,木板路,
highway,高速公路,
rail line,铁路线,
design strategies,设计策略,
Louisville,路易斯维尔,
riverfront plaza,河滨广场,
elevated highways,高架高速公路,
dynamic park,动态公园,
Manhattan,曼哈顿,
Lower Manhattan Special District Plan,下曼哈顿特殊区域规划,
1973,1973年,
pedestrian connections,步行连接,
public transportation,公共交通,
streetcar,有轨电车,
mass transit network,公共交通网络,
waterbus,水上巴士,
waterways,水道,
skating,滑冰,
Waterfront planning and design,滨水区规划与设计,
urban waterfront site,城市滨水区场地,
design drawings,设计图纸,
one-shot design,一次性设计,
Design and development policy,设计与开发政策,
design framework,设计框架,
slow-growth economic environment,缓慢增长的经济环境,
Waterfront design and development,滨水区设计与开发,
long-term process,长期过程,
public sector,公共部门,
social and physical development policies,社会与实体发展政策,
public investment,公共投资,
infrastructure,基础设施,
East Exchange District,东交易区,
French Quarters,法国区,
St. Boniface,圣博尼费斯,
ideas competition,创意竞赛,
waterfront open space,滨水开放空间,
City Hall,市政厅,
