source,target,tgt_lng
"Richard, J.H.","Richard, J.H.",
"Yohan, N.","Yohan, N.",
"Anisha, S.","Anisha, S.",
"Lukas, L.","Lukas, L.",
"Liu, H.B.","Liu, H.B.",
"Kaspar, A.","Kaspar, A.",
"Joseph, H.","Joseph, H.",
"Davinder, S.","Davinder, S.",
"Kawal, R.","Kawal, R.",
Analysis of a Customized Clutch Joint Designed for the Safety Management of an Ultrasound Robot,用于超声机器人安全管理的定制离合器关节分析,
"Cui, J.Z.","Cui, J.Z.",
"Wang, C.T.","Wang, C.T.",
"Xie, F.W.","Xie, F.W.",
"Xuan, R.","Xuan, R.",
"Shen, G.","Shen, G.",
Appl. Therm. Eng.,应用热工程,
Thermal behavior of multidisk friction pairs in hydroviscous drive considering inertia item,考虑惯性项的液压粘性传动中多盘摩擦副热行为,
J. Tribol. ASME,ASME摩擦学杂志,
"Marklund, P.","Marklund, P.",
"Mäki, R.","Mäki, R.",
"Larsson, R.","Larsson, R.",
"Hoglund, E.","Hoglund, E.",
"Khonsari, M.M.","Khonsari, M.M.",
Thermal influence on torque transfer of wet clutches in limited slip differential applications,限滑差速应用中湿式离合器扭矩传递的热影响,
Tribol. Int.,国际摩擦学,
"Amedeo, T.","Amedeo, T.",
"Emanuele, G.","Emanuele, G.",
"Claudioet, A.","Claudioet, A.",
"Renzo, C.","Renzo, C.",
"Tribologic analysis, wear evolution and torque trend estimation of an LSD clutch pack",LSD离合器组的摩擦学分析、磨损演变和扭矩趋势估计,
Int. J. Surf. Eng. Interdiscip. Mater. Sci.,国际表面工程与跨学科材料科学杂志,
"Finkin, E.F.","Finkin, E.F.",
The consequences of spline friction in multiple disk brake and clutch packs,多盘制动器和离合器组中花键摩擦的后果,
"Newcomb, T.P.","Newcomb, T.P.",
"Merritt, H.E.","Merritt, H.E.",
J. Mech. Eng. Sci.,机械工程科学杂志,
Eng. Fail. Anal.,工程失效分析,
"Li, M.","Li, M.",
"McCarthy, D.M.C.","McCarthy, D.M.C.",
"Lundin, J.","Lundin, J.",
Proc. Inst. Mech. Eng. Part J,机械工程师学会论文集J辑,
Hot judder behavior in multidisc clutches,多片离合器热抖动行为,
"Lan, N.","Lan, N.",
"Zhang, H.","Zhang, H.",
"Zhao, X.X.","Zhao, X.X.",
"Yang, J.","Yang, J.",
"Zhang, W.M.","Zhang, W.M.",
"Cho, J.","Cho, J.",
"Lee, Y.","Lee, Y.",
"Kim, W.","Kim, W.",
"Jang, S.","Jang, S.",
Wet single clutch engagement behaviors in the dual-clutch transmission system,双离合器变速器中湿式单离合器接合行为,
Int. J. Auto. Tech. Kor.,国际汽车技术杂志（韩国）,
"Zhao, E.H.","Zhao, E.H.",
"Lingesten, N.","Lingesten, N.",
"Höglund, E.","Höglund, E.",
Proc. Inst. Mech. Eng. Part J J. Eng. Tribol.,机械工程师学会论文集J辑: 工程摩擦学杂志,
"Lin, X.H.","Lin, X.H.",
"Xi, J.Q.","Xi, J.Q.",
"Hao, S.Q.","Hao, S.Q.",
The calculation model of the friction torque on a dry clutch,干式离合器摩擦力矩计算模型,
Proc. Inst. Mech. Eng. Part D J. Automob. Eng.,机械工程师学会论文集D辑: 汽车工程杂志,
"Li, W.B.","Li, W.B.",
"Huang, J.F.","Huang, J.F.",
"Fei, J.","Fei, J.",
"Cao, L.Y.","Cao, L.Y.",
"Yao, C.Y.","Yao, C.Y.",
Int. Commun. Heat Mass.,国际传热传质通讯,
motor speed,电机转速,
experiment cycle,实验周期,
engagement test,接合测试,
experiment scheme,实验方案,
lubricating temperature,润滑温度,
spline COF μfs,花键摩擦系数 μfs,
static friction status,静摩擦状态,
total calculated torque,总计算扭矩,
theoretical,理论值,
experimental value,实验值,
Calculated torque,计算扭矩,
Experimental Equipment,实验设备,
pressure,压力,
temperature,温度,
friction torques,摩擦扭矩,
single-pair friction torques,单对摩擦扭矩,
Table 2,表2,
growth rate,增长率,
reduction amplitude,下降幅度,
friction-pair system,摩擦副系统,
contact pressure attenuation,接触压力衰减,
Figu re 4,图4,
pressure pc,压力pc,
oil pressure pc,油压pc,
equivalent friction torque,等效摩擦力矩,
copper-based powder metallurgy material with nano-modifier,含纳米改性剂的铜基粉末冶金材料,
Table 1,表1,
splines,花键,
driven part,从动件,
input power,输入功率,
Lubricating oil temperature,润滑油温度,
Equation (5),方程(5),
Figure 5,图5,
pressure angle,压力角,
coefficient of friction,摩擦系数,
friction material,摩擦材料,
