source,target,tgt_lng
kidnapping/hostage taking information,绑架/劫持信息,
additional information,附加信息,
source information,来源信息,
End User License Agreement,最终用户许可协议,
Pinkerton Global Intelligence Service,平克顿全球情报服务,
PGIS,PGIS,
Center for Terrorism and Intelligence Studies,恐怖主义与情报研究中心,
CETIS,CETIS,
Institute for,研究所,
violence,暴力,
threat of violence,暴力威胁,
property violence,财产暴力,
sub-national actors,次国家行为体,
state terrorism,国家恐怖主义,
political goal,政治目标,
economic goal,经济目标,
religious goal,宗教目标,
social goal,社会目标,
intention to coerce,胁迫意图,
intimidate,恐吓,
legitimate warfare,合法战争,
international humanitarian law,国际人道法,
non-combatants,非战斗人员,
insurgency,叛乱,
hate crime,仇恨犯罪,
organized crime,有组织犯罪,
Insurgency/Guerilla Action,叛乱/游击行动,
Other Crime Type,其他犯罪类型,
Intra/Inter-group conflict,群体内/群体间冲突,
Lack of Intentionality,缺乏意图,
State Actor,国家行为体,
GLOBAL TERRORISM DATABASE CODEBOOK,全球恐怖主义数据库代码手册,
West Bank,西岸,
Gaza Strip,加沙地带,
Israel,以色列,
Target/Victim Entity,目标/受害者实体,
Target/Victim Type,目标/受害者类型,
Perpetrator Group(s) Suspected/Unconfirmed,疑似/未确认的肇事者团体,
Metabase Application Programming Interface (API),Metabase应用程序编程接口（API）,
Lexis Nexis,Lexis Nexis,
BBC Monitoring,BBC监测,
Open Source Enterprise,开源企业,
natural language processing (NLP),自然语言处理（NLP）,
machine learning,机器学习,
GTD Codebook,全球恐怖主义数据库代码手册,
GTD inclusion criteria,全球恐怖主义数据库纳入标准,
Unaffiliated Individual(s),无关联个人,
Perpetrator Group Name,实施者团体名称,
gname,实施者团体名称,
individual,individual,
"September 11, 2001",2001年9月11日,
New York City,纽约市,
nwound,受伤人数,
September 11th attacks,911袭击,
9/11 Victim Compensation Fund,9/11受害者赔偿基金,
nwoundus,美国公民受伤人数,
Target subtype,目标子类型,
targsubtype,目标子类型,
Navy,海军,
Air,空军,
Coast Guard,海岸警卫队,
Army,陆军,
Military Weaponry,军事武器,
Military Aircraft,军用飞机,
Military Maritime,军事海事,
Non-combatant Personnel,非战斗人员,
Weapon subtype,武器子类型,
weapsubtype,武器子类型,
Flamethrower,火焰喷射器,
Molotov Cocktail/Petrol Bomb,莫洛托夫鸡尾酒/汽油弹,
Latitude,纬度,
Longitude,经度,
Specificity,具体性,
START headquarters,START总部,
terrorism incident data,恐怖主义事件数据,
data collection methodology,数据收集方法,
1993,1993年,
country level statistics,国家层面统计数据,
source materials,源材料,
workflows,工作流,
definition of terrorism,恐怖主义定义,
internet,互联网,
"January 1, 1998",1998年1月1日,
"April 1, 2008",2008年4月1日,
"January 1, 2012",2012年1月1日,
Russia and the Newly Independent States (NIS),俄罗斯和新独立国家,
Central Asia,中亚,
Eastern Europe,东欧,
Northern Ireland,北爱尔兰,
Corsica,科西嘉,
Puerto Rico,波多黎各,
Great Britain,大不列颠,
France,法国,
United States,美国,
United Kingdom,英国,
Congo (Kinshasa),刚果（金沙萨）,
Congo (Brazzaville),刚果（布拉柴维尔）,
Democratic Republic of the Congo,刚果民主共和国,
Zaire,扎伊尔,
Republic of the Congo,刚果共和国,
People's Republic of the Congo,刚果人民共和国,
target nationality,目标国籍,
August 2014,2014年8月,
Alternative,替代,
Related ID variable,相关ID变量,
eventID,事件ID,
targetsubtype1,目标子类型1,
targetsubtype2,目标子类型2,
targetsubtype3,目标子类型3,
INT_LOG,国际逻辑,
INT_IDEO,国际意识形态,
INT_MISC,国际杂项,
INT_ANY,国际任何,
geo-coding,地理编码,
multi-party conflict,多党冲突,
claim of responsibility,责任声明,
Knife,刀,
Sharp Object Other Than Knife,非刀具的锐器,
Knives and Other Sharp Objects,刀具和其他锐器,
Dynamite/TNT,炸药/TNT,
Sticky Bomb,粘性炸弹,
Bombs/Dynamite/Explosives,炸弹/炸药/爆炸物,
total confirmed fatalities,确认死亡总数,
victims,受害者,
attackers,攻击者,
perpetrator fatalities,肇事者死亡人数,
victim fatalities,受害者死亡人数,
independent sources,独立来源,
most recent source,最新来源,
questionable validity,可疑有效性,
perpetrator group,肇事者团体,
majority figure,多数数字,
lowest proffered fatality figure,最低提供死亡数字,
Additional Notes,附加说明,
Preservation of Statistical Accuracy,统计准确性的保持,
cumulative fatality total,累计死亡总数,
linked incidents,关联事件,
distributing fatalities,分配死亡人数,
Number of U.S. Fatalities,美国死亡人数,
Number of Perpetrator Fatalities,肇事者死亡人数,
Total Number of Injured,受伤总人数,
Number of U.S. Injured,美国受伤人数,
Number of Perpetrators Injured,肇事者受伤人数,
Numeric Variable,数值变量,
U.S. citizens,美国公民,
U.S. victims,美国受害者,
U.S. perpetrators,美国肇事者,
U.S. soil,美国领土,
Number of US Fatalities,美国死亡人数,
data collection process,数据收集流程,
coding strategy,编码策略,
quality control,质量控制,
coding teams,编码团队,
location,地点,
perpetrators,肇事者,
targets,目标,
weapons and tactics,武器与战术,
general information,一般信息,
undergraduate,本科生,
graduate student interns,研究生实习生,
full-time research assistant,全职研究助理,
domain team leader,领域团队负责人,
coding guidelines,编码指南,
perpetrator domain team,肇事者领域团队,
naming conventions,命名惯例,
aliases,别名,
spelling variations,拼写变体,
factions,派系,
splinter organizations,分裂组织,
internal consistency,内部一致性,
comprehensiveness,全面性,
document classification,文档分类,
machine learning algorithms,机器学习算法,
media sources,媒体来源,
news archives,新闻档案,
Metabase,元数据库,
national and local sources,全国和地方来源,
source availability,来源可用性,
database,数据库,
START Discussion Point,START讨论点,
nationality,国籍,
location of the attack,袭击地点,
border,边界,
national border,国界,
non-contiguous contested territory,非连续争议领土,
secure border,安全边界,
contested territory,争议领土,
parent country,母国,
logistically international,后勤国际,
logistically domestic,后勤国内,
multinational,多国,
auxiliary variable,辅助变量,
International- Ideological (INT_IDEO) Categorical Variable,国际意识形态分类变量,
ideologically international,意识形态国际,
ideologically domestic,意识形态国内,
ARMED ASSAULT,武装袭击,
BOMBING/EXPLOSION,轰炸/爆炸,
HIJACKING,劫持,
HOSTAGE TAKING (BARRICADE INCIDENT),劫持人质（路障事件）,
Total Ransom Amount Paid,已付赎金总额,
Ransom Amount Paid by US Sources,美国来源支付的赎金金额,
Ransom Notes,赎金备注,
Text Variable,文本变量,
Categorical Variable,分类变量,
incidents of terrorism,恐怖主义事件,
post-1997 data collection effort,1997年后的数据收集工作,
coding system,编码系统,
researchers,研究人员,
public officials,公共官员,
definitions of terrorism,恐怖主义定义,
filtering mechanisms,过滤机制,
United States National Institute of Justice,美国国家司法研究所,
United States Department of Homeland Security,美国国土安全部,
Science and Technology Directorate,科学和技术局,
United States Department of State,美国国务院,
Bureau of Counterterrorism and Countering Violent Extremism,反恐和反暴力极端主义局,
United States Department of Defense,美国国防部,
Combating Terrorism Technical Support Office,反恐技术支持办公室,
German Federal Foreign Office,德国联邦外交部,
"United Kingdom Foreign, Commonwealth, and Development Office",英国外交、联邦和发展事务部,
public reporting,公开报道,
names of perpetrators,肇事者姓名,
suspected perpetrators,疑似肇事者,
victims of terrorist attacks,恐怖袭击受害者,
hostages,人质,
kidnapping victims,绑架受害者,
Number of US Hostages / Kidnapping Victims,美国被劫持/绑架人数,
nhostkidus,nhostkidus,
Total Number of Hostages/ Kidnapping Victims,人质/绑架受害者总数,
nhours,nhours,
Attack Type,攻击类型,
Hostage Taking (Kidnapping),劫持人质（绑架）,
Days of Kidnapping / Hostage Incident,绑架/劫持事件天数,
ndays,ndays,
South Asia,南亚,
Western Europe,西欧,
Middle East & North Africa,中东和北非,
Sub-Saharan Africa,撒哈拉以南非洲,
Australasia & Oceania,澳大拉西亚和大洋洲,
provstate,省级行政区,
Victim identification,受害者识别,
data collection team,数据收集团队,
duplicate entries,重复条目,
database users,数据库用户,
high-profile individuals,高知名度个人,
Updating information,信息更新,
Gas/Oil,天然气/石油,
Gas/Oil/Electric,天然气/石油/电力,
Refugee Camp,难民营,
Refugee (including Camps/IDP/Asylum Seekers),难民（包括营地/国内流离失所者/寻求庇护者）,
Private Citizens and Property,私人公民与财产,
Other,其他,
Legal Services,法律服务,
Alleged Informants,涉嫌线人,
Weapon type,武器类型,
Explosives/Bombs/Dynamite,炸药/炸弹/甘油炸药,
Explosives,炸药,
Turkey,土耳其,
Turkmenistan,土库曼斯坦,
Tuvalu,图瓦卢,
Uganda,乌干达,
Ukraine,乌克兰,
United Arab Emirates,阿拉伯联合酋长国,
Uruguay,乌拉圭,
Uzbekistan,乌兹别克斯坦,
Vanuatu,瓦努阿图,
Vatican City,梵蒂冈,
Venezuela,委内瑞拉,
Vietnam,越南,
Virgin Islands (U.S.),美属维尔京群岛,
Wallis and Futuna,瓦利斯和富图纳,
Yemen,也门,
South Yemen,南也门,
Zambia,赞比亚,
Zimbabwe,津巴布韦,
East Germany (GDR),东德,
Yugoslavia,南斯拉夫,
Czechoslovakia,捷克斯洛伐克,
Asian,亚洲,
East Timor,东帝汶,
Western Sahara,西撒哈拉,
Commonwealth of Independent States,独立国家联合体,
Soviet Union,苏联,
West Germany (FRG),西德,
Kosovo,科索沃,
North Yemen,北也门,
Rhodesia,罗得西亚,
South Sudan,南苏丹,
Serbia,塞尔维亚,
Montenegro,黑山,
region,地区,
region_txt,地区文本,
North America,北美洲,
Central America & Caribbean,中美洲和加勒比地区,
South America,南美洲,
East Asia,东亚,
Southeast Asia,东南亚,
Total Ransom Amount Demanded,要求赎金总额,
Ransom Amount Demanded from US Sources,美国来源要求赎金金额,
out the door,已出发,
en route,在途中,
Planning,策划,
reconnaissance,侦察,
acquiring supplies,获取物资,
threshold,阈值,
tactics,战术,
success variable,成功变量,
bomb,炸弹,
arsonist,纵火犯,
authorities,当局,
assassin,刺客,
intended target,预定目标,
geographic,地理的,
temporal,时间的,
single incident,单一事件,
truck bombs,卡车炸弹,
major city,大城市,
police,警察,
terrorists,恐怖分子,
automatic weapons,自动武器,
militants,武装分子,
perimeter checkpoint,周边检查站,
petroleum refinery,炼油厂,
hijackers,劫机者,
plane,飞机,
Senegal,塞内加尔,
Senegalese policemen,塞内加尔警察,
complex event,复杂事件,
multiple incidents,多个事件,
hostage conditions,人质状况,
hijacked vehicles,被劫持车辆,
perpetrator,肇事者,
casualty numbers,伤亡人数,
unusual factors,不寻常因素,
shift in tactics,战术转变,
reappearance of an organization,组织重现,
emergence of a new organization,新组织出现,
attack carried out on a historical date,在历史日期发动的袭击,
escalation of a violent campaign,暴力活动的升级,
"fate (legal, health, or otherwise)",命运（法律、健康或其他）,
GTD source documents,GTD源文件,
Specific Target/Victim,具体目标/受害者,
kidnapping,绑架,
assassination,暗杀,
Perpetrator Individual(s)’ Name(s),肇事者个人姓名,
planners,策划者,
bomb-makers,炸弹制造者,
Mode for Claim of Responsibility,责任声明模式,
Kidnapping/Hostage Outcome,绑架/人质结果,
Alternative Designation,替代标识,
nationalities,国籍,
target(s)/victim(s),目标/受害者,
International- Miscellaneous (INT_MISC) Categorical Variable,国际-杂项（INT_MISC）分类变量,
nationality of the target(s)/victim(s),目标/受害者国籍,
miscellaneous international,杂项国际,
miscellaneous domestic,杂项国内,
International- Any of the above,国际-上述任意一种,
Attempted Rescue,尝试营救,
Hostage(s) released by perpetrators,人质被 perpetrators释放,
Hostage(s) escaped (not during rescue attempt),人质逃脱（非营救尝试期间）,
Hostage(s) killed (not during rescue attempt),人质被杀（非营救尝试期间）,
Successful Rescue,成功营救,
Combination,组合,
Unknown,未知,
Number Released/Escaped/Rescued (nreleased),获释/逃脱/获救人质数量（nreleased）,
Approximate Date,近似日期,
Numeric Date Variable,数值日期变量,
perpetrator group sub-name,施暴者团体子名称,
open-source media accounts,开源媒体报道,
legal finding of culpability,法律责任认定,
GTD database,全球恐怖主义数据库,
standardized list of group names,标准化团体名称列表,
project staff,项目人员,
Protestant Extremists,新教极端分子,
student radicals,学生激进分子,
left-wing militants,左翼武装分子,
generic identifiers,通用标识符,
gsubname,gsubname,
gname2,gname2,
BREAKUP OF CZECHOSLOVAKIA,捷克斯洛伐克解体,
Czech Republic,捷克共和国,
Slovakia,斯洛伐克,
independence,独立,
BREAKUP OF UNION OF SOVIET SOCIALIST REPUBLICS (USSR),苏维埃社会主义共和国联盟（苏联）解体,
Russian Federation,俄罗斯联邦,
Armenia,亚美尼亚,
Azerbaijan,阿塞拜疆,
Belarus,白俄罗斯,
Estonia,爱沙尼亚,
Georgia,格鲁吉亚,
Kazakhstan,哈萨克斯坦,
Kyrgyzstan,吉尔吉斯斯坦,
Latvia,拉脱维亚,
Lithuania,立陶宛,
Moldova,摩尔多瓦,
Tajikistan,塔吉克斯坦,
USSR,苏联,
BREAKUP OF YUGOSLAVIA,南斯拉夫解体,
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,
Croatia,克罗地亚,
UNMIK,联合国科索沃临时行政当局特派团,
Macedonia,马其顿,
Serbia-Montenegro,塞尔维亚和黑山,
Slovenia,斯洛文尼亚,
incident,事件,
perpetrator groups,实施者团体,
independent credible sources,独立可靠来源,
number of perpetrators,实施者人数,
nperpcap,nperpcap,
custody,拘留,
claimed,claimed,
claim responsibility,声称负责,
First Perpetrator Group,第一实施者团体,
BUSINESS,商业,
GOVERNMENT (GENERAL),政府（一般）,
Attack Type Hierarchy,攻击类型层级,
Barricade Incident,路障事件,
Unarmed Assault,非武装袭击,
Facility/Infrastructure Attack,设施/基础设施攻击,
city/village/town,城市/村庄/城镇,
subnational administrative region,次国家级行政区,
1st order administrative region,一级行政区,
latitude and longitude,纬度和经度,
high-ranking military officers,高级军官,
government officials,政府官员,
celebrities,名人,
Value of Property Damage,财产损失价值,
Property Damage,财产损失,
Property Damage Comments,财产损失评论,
hostage,人质,
kidnapped,绑架,
successful attack,成功袭击,
type of attack,袭击类型,
assassination target,暗杀目标,
explosive device,爆炸装置,
detonation,引爆,
hijacker,劫持者,
vehicle,交通工具,
summary,摘要,
crit1,crit1,
crit2,crit2,
crit3,crit3,
Categorical Variables,分类变量,
"POLITICAL, ECONOMIC, RELIGIOUS, OR SOCIAL GOAL",政治、经济、宗教或社会目标,
violent act,暴力行为,
pure profit motive,单纯盈利动机,
idiosyncratic personal motive,特殊个人动机,
broader societal change,更广泛的社会变革,
Criterion 1,标准1,
"INTENTION TO COERCE, INTIMIDATE OR PUBLICIZE TO LARGER AUDIENCE(S)",意图胁迫、恐吓或向更大范围受众宣传,
multiple perpetrator group attributions,多个施暴群体归因,
competing attributions,竞争性归因,
competing claims of responsibility,竞争性负责声明,
competing accusations,竞争性指控,
Perpetrator Group Unconfirmed variable,施暴群体未确认变量,
guncertain,guncertain,
gsubname2,gsubname2,
second perpetrator group name,第二个施暴群体名称,
Perpetrator Sub-Group Name field,施暴子群体名称字段,
gname3,gname3,
third perpetrator,第三个施暴者,
two perpetrators,两个施暴者,
Perpetrator Group field,施暴群体字段,
gsubname3,gsubname3,
third perpetrator group name,第三个施暴群体名称,
guncertain1,guncertain1,
speculation,推测,
dubious claims of responsibility,可疑的负责声明,
OUTSIDE INTERNATIONAL HUMANITARIAN LAW,国际人道法之外,
Additional Protocol to the Geneva Conventions of 12 August 1949,1949年8月12日日内瓦公约附加议定书,
doubtterr,doubtterr,
Doubt Terrorism Proper?,是否怀疑为恐怖主义,
alternative_txt,alternative_txt,
claimants,声称者,
Letter,信件,
Call (post-incident),电话（事件后）,
Call (pre-incident),电话（事件前）,
E-mail,电子邮件,
Note left at scene,现场留言,
Video,视频,
"Posted to website, blog, social media",发布到网站、博客、社交媒体,
Personal claim,个人声称,
compclaim,竞争声称,
competing claims,竞争性声称,
claim2,声称2,
Kidnappings,绑架,
Barricade Incidents,路障事件,
FACILITY / INFRASTRUCTURE ATTACK,设施/基础设施袭击,
arson,纵火,
sabotage,破坏,
chemical weapons,化学武器,
biological weapons,生物武器,
radiological weapons,辐射武器,
attacktype2,袭击类型2,
attacktype2_txt,袭击类型2文本,
attacktype3,袭击类型3,
attacktype3_txt,袭击类型3文本,
corporate entity,法人实体,
government agency,政府机构,
target1,目标1,
U.S. Embassy,美国大使馆,
natlty1,国籍1,
natlty1_txt,国籍1文本,
hijacking incidents,劫持事件,
country codes,国家代码,
Section III,第三节,
targtype2,目标类型2,
targtype2_txt,目标类型2文本,
targsubtype2,目标子类型2,
targsubtype2_txt,目标子类型2文本,
Target/Victim Subtype,目标/受害者子类型,
corp2,实体2,
political parties,政党,
government,政府,
electoral politics,选举政治,
targsubtype1,目标子类型1,
targsubtype1_txt,目标子类型1文本,
target type,目标类型,
Restaurant/Bar/Café,餐厅/酒吧/咖啡馆,
Bank/Commerce,银行/商业,
Multinational Corporation,跨国公司,
Industrial/Textiles/Factory,工业/纺织/工厂,
Medical/Pharmaceutical,医疗/制药,
Retail/Grocery/Bakery,零售/杂货/面包店,
Hotel/Resort,酒店/度假村,
Farm/Ranch,农场/牧场,
Mining,采矿,
Entertainment/Cultural/Stadium/Casino,娱乐/文化/体育场/赌场,
Construction,建筑,
Private Security Company/Firm,私人保安公司,
Judges/Attorneys/Courts,法官/律师/法院,
Politician or Political Party Movement/Meeting/Rally,政治家或政党运动/会议/集会,
Royalty,王室,
Head of State,国家元首,
Government Personnel,政府人员,
Election-related,选举相关,
Intelligence,情报,
Government Buildings/Facility/Office,政府大楼/设施/办公室,
Police Buildings,警察大楼,
Headquarters/Stations/School,总部/车站/学校,
MARITIME (INCLUDES PORTS AND MARITIME FACILITIES),海上（包括港口和海上设施）,
NGO,非政府组织,
Red Cross,红十字会,
Doctors without Borders,无国界医生,
PRIVATE CITIZENS & PROPERTY,私人公民和财产,
suicide,自杀,
Biological,生物,
weaptype1,武器类型1,
weaptype1_txt,武器类型1文本,
Radio Journalist/Staff/Facility,广播记者/员工/设施,
Television Journalist/Staff/Facility,电视记者/员工/设施,
Other (including online news agencies),其他（包括在线新闻机构）,
Maritime,海事,
Civilian Maritime,民用海事,
Commercial Maritime,商业海事,
Oil Tanker,油轮,
Port,港口,
Domestic NGO,国内非政府组织,
International NGO,国际非政府组织,
Ambulance,救护车,
Fire Fighter/Truck,消防员/消防车,
Demilitarized Zone,非军事区,
Green Zone,绿区,
Unnamed Civilian/Unspecified,未具名平民/未指定,
Named Civilian,具名平民,
Religion Identified,宗教标识,
Student,学生,
Race/Ethnicity Identified,种族/民族标识,
Farmer,农民,
Vehicles/Transportation,车辆/交通,
Marketplace/Plaza/Square,市场/广场,
Village/City/Town/Suburb,村庄/城市/镇/郊区,
House/Apartment/Residence,房屋/公寓/住宅,
Laborer (General)/Occupation Identified,劳工（一般）/职业标识,
"Procession/Gathering (funeral, wedding, birthday, religious)",游行/集会（葬礼、婚礼、生日、宗教）,
Public Areas,公共区域,
"Public garden, parking lot, garage, beach, public buildings, camps",公共花园、停车场、车库、海滩、公共建筑、营地,
Memorial/Cemetery/Monument,纪念馆/墓地/纪念碑,
Museum/Cultural Center/Cultural House,博物馆/文化中心/文化馆,
Labor Union Related,工会相关,
Protester,抗议者,
Political Party Member/Rally,政党成员/集会,
Alleged Informant,涉嫌告密者,
Religious Figures/Institutions,宗教人物/机构,
foreign missions,外国使团,
embassies,大使馆,
consulates,领事馆,
cultural centers,文化中心,
diplomatic staff,外交人员,
United Nations,联合国,
diplomatic target,外交目标,
EDUCATIONAL INSTITUTION,教育机构,
schools,学校,
teachers,教师,
guards protecting school sites,保护学校场地的警卫,
university professors,大学教授,
teaching staff,教学人员,
school buses,校车,
religious schools,宗教学校,
military schools,军事学校,
Military,军事,
FOOD OR WATER SUPPLY,食品或水供应,
food supplies,食品供应,
water supplies,水供应,
infrastructure,基础设施,
human consumption,人类消费,
JOURNALISTS & MEDIA,记者与媒体,
reporters,记者,
news assistants,新闻助理,
photographers,摄影师,
publishers,出版商,
media headquarters,媒体总部,
media offices,媒体办公室,
transmission facilities,传输设施,
antennae,天线,
transmission towers,传输塔,
broadcast infrastructure,广播基础设施,
Telecommunications,电信,
TELECOMMUNICATION,电信,
NON-STATE MILITIAS,非国家民兵,
TOURISTS,游客,
TRANSPORTATION (OTHER THAN AVIATION),运输（航空除外）,
Event ID,事件标识符,
Incidents,事件,
case number,案例编号,
iyear,iyear,
year,年份,
Weapon Sub-Type,武器子类型,
Total Number of Fatalities,总死亡人数,
non-fatal injuries,非致命伤害,
nwoundte,nwoundte,
property,财产,
guncertain2,guncertain2,
Perpetrator Group Name(s),肇事组织名称,
First Perpetrator Group Suspected/Unconfirmed?,首个肇事组织是否被疑似/未确认？,
guncertain3,guncertain3,
Police Patrol,警察巡逻,
Police Checkpoint,警察检查站,
Police Security Forces/Officers,警察安全部队/官员,
Prison/Jail,监狱/拘留所,
Military Barracks/Base/Headquarters/Checkpost,军事营区/基地/总部/检查站,
Military Recruiting Station/Academy,军事招募站/学院,
Military Unit/Patrol/Convoy,军事单位/巡逻队/车队,
Military Personnel,军事人员,
Military Transportation/Vehicle,军事运输车辆,
Military Checkpoint,军事检查站,
North Atlantic Treaty Organization (NATO),北大西洋公约组织（北约）,
Paramilitary,准军事组织,
Abortion Related,堕胎相关,
Clinics,诊所,
Personnel,人员,
Airports & Aircraft,机场与飞机,
Aircraft,飞机,
Airline Officer/Personnel,航空官员/人员,
Airport,机场,
Government (Diplomatic),政府（外交）,
Diplomatic Personnel,外交人员,
Embassy/Consulate,大使馆/领事馆,
International Organization,国际组织,
vicinity,周边地区,
WGS1984,WGS1984,
multiple incident,多次事件,
Related Incidents,相关事件,
GTD IDs,全球恐怖主义数据库标识符,
attacks against students,针对学生的袭击,
school,学校,
university,大学,
educational setting,教育场所,
political supporters,政治支持者,
private citizens,私人公民,
government-sponsored event,政府赞助活动,
police informers,警方线人,
civilian casualties,平民伤亡,
religious leaders,宗教领袖,
Imams,伊玛目,
priests,牧师,
bishops,主教,
religious institutions,宗教机构,
mosques,清真寺,
churches,教堂,
religious places,宗教场所,
religious objects,宗教物品,
shrines,圣地,
relics,圣物,
organizations affiliated with religious entities,附属于宗教实体的组织,
NGOs,非政府组织,
religious pilgrims,宗教朝圣者,
missionaries,传教士,
Separatist regions,分离主义地区,
Kashmir,克什米尔,
Chechnya,车臣,
South Ossetia,南奥塞梯,
Transnistria,德涅斯特河沿岸,
Republic of Cabinda,卡宾达共和国,
West Germany,西德,
Bonn,波恩,
Part of Multiple Incident,多重事件的一部分,
Country,国家,
unaffiliated individuals,无关联个体,
attack,袭击,
perpetrator(s),实施者,
group,团体,
organization,组织,
Second Perpetrator Group Suspected/Unconfirmed?,第二实施者团体疑似/未确认？,
Third Perpetrator Group Suspected/Unconfirmed?,第三实施者团体疑似/未确认？,
ISVG,ISVG,
GTD1,GTD1,
GTD2,GTD2,
GTD3,GTD3,
Second Source Citation,第二来源引用,
Third Source Citation,第三来源引用,
Nuclear,核武器,
explosive force,爆炸力,
fission,核裂变,
fusion,核聚变,
Firearms,枪械,
projectile,抛射物,
explosive charge,爆炸装药,
propellant,推进剂,
energetically unstable material,高能不稳定材料,
decomposition,分解,
pressure wave,压力波,
physical damage,物理损伤,
Chemical,化学,
Fake Weapons,假武器,
Incendiary,燃烧武器,
fire,火焰,
Automatic or Semi-Automatic Rifle,自动或半自动步枪,
Handgun,手枪,
Rifle/Shotgun (non-automatic),步枪/霰弹枪（非自动）,
Unknown Gun Type,未知枪械类型,
Other Gun Type,其他枪械类型,
Grenade (not RPGs),手榴弹（非火箭筒）,
Landmine,地雷,
Mail Bomb,邮件炸弹,
Pressure Trigger,压力触发装置,
Remote Device,遥控装置,
Time Fuse,定时引信,
Unknown Explosive Type,未知爆炸物类型,
Other Explosive Type,其他爆炸物类型,
Pipe Bomb,管状炸弹,
Eritrea,厄立特里亚,
Germany,德国,
Afghanistan,阿富汗,
Albania,阿尔巴尼亚,
Algeria,阿尔及利亚,
Andorra,安道尔,
Angola,安哥拉,
Antigua and Barbuda,安提瓜和巴布达,
Argentina,阿根廷,
Australia,澳大利亚,
Austria,奥地利,
Bahamas,巴哈马,
Bahrain,巴林,
Bangladesh,孟加拉国,
Barbados,巴巴多斯,
Belgium,比利时,
Belize,伯利兹,
Benin,贝宁,
Bermuda,百慕大,
Bhutan,不丹,
Bolivia,玻利维亚,
Bosnia-Herzegovina,波斯尼亚和黑塞哥维那,
Botswana,博茨瓦纳,
Brazil,巴西,
"Crenshaw, Martha","Crenshaw, Martha",
John Pimlott,John Pimlott,
Encyclopedia of World Terrorism,世界恐怖主义百科全书,
Sharpe Reference,Sharpe Reference,
"Armonk, NY","Armonk, NY",
UMD,UMD,
JTMM,JTMM,
Nepal,尼泊尔,
Janatantrik Terai Mukti Morcha,Janatantrik Terai Mukti Morcha,
Miscellaneous,杂项,
Alex P. Schmid,Alex P. Schmid,
Director of the Terrorism Research Initiative,恐怖主义研究倡议主任,
TRI,TRI,
South Africa,南非,
South Africa Truth and Reconciliation Commission,南非真相与和解委员会,
Truth and Reconciliation Commission of South Africa Report,南非真相与和解委员会报告,
Johannesburg,约翰内斯堡,
attacks,攻击,
generic terms,通用术语,
cars,汽车,
vehicles,车辆,
public transportation systems,公共交通系统,
buses,公交车,
public transportation,公共交通,
UTILITIES,公用事业,
facilities,设施,
transmission,传输,
generation of energy,能源生产,
power lines,电力线,
oil pipelines,石油管道,
electrical transformers,变压器,
high tension lines,高压线,
gas and electric substations,燃气和变电站,
