source,target,tgt_lng
"Chandrashekar and Sahin, 2014","Chandrashekar and Sahin, 2014",
"Ross, 2014","Ross, 2014",
correlation coefficient-based method,基于相关系数的方法,
mutual information-based method,基于互信息的方法,
LightGBM feature importance-based method,基于LightGBM特征重要性的方法,
loss function,损失函数,
tree splitting,树分裂,
prediction time,预测时间,
month,月,
hour,时,
Parameter tuning,参数调优,
"Akiba et al., 2019","Akiba et al., 2019",
Bayesian optimization,贝叶斯优化,
LightGBMTuner,LightGBMTuner,
"OPTUNA, 2024","OPTUNA, 2024",
Sekigahara,Sekigahara,
feedforward neural network,前馈神经网络,
"Hieta, L.","Hieta, L.",
"Partio, M.","Partio, M.",
Meteorol. Appl.,气象应用,
"Iwase, K.","Iwase, K.",
"Takenawa, T.","Takenawa, T.",
Interpolation of mountain weather forecasts by machine learning,基于机器学习的山地天气预报插值,
J. Inf. Process.,信息处理杂志,
Outline of the operational numerical weather prediction at the Japan Meteorological Agency,日本气象厅业务数值天气预报概要,
"Jørgensen, B.","Jørgensen, B.",
The Theory of Dispersion Models,色散模型理论,
Chapman & Hall,Chapman & Hall,
"Ke, G.","Ke, G.",
"Meng, Q.","Meng, Q.",
"Finley, T.","Finley, T.",
"Wang, T.","Wang, T.",
"Chen, W.","Chen, W.",
"Ma, W.","Ma, W.",
"Ye, Q.","Ye, Q.",
"Liu, T.Y.","Liu, T.Y.",
gradient boosting decision tree,梯度提升决策树,
"Kingma, D.P.","Kingma, D.P.",
Adam: A method for stochastic optimization,Adam: 一种随机优化方法,
"Kudo, A.","Kudo, A.",
J. Meteorol. Soc. Jpn. Ser. II,日本气象学会杂志第二辑,
LightGBM Contributors,LightGBM贡献者,
LightGBM parameters,LightGBM参数,
"Liu, Q.","Liu, Q.",
"Lou, X.","Lou, X.",
"Yan, Z.","Yan, Z.",
"Qi, Y.","Qi, Y.",
"Jin, Y.","Jin, Y.",
"Yu, S.","Yu, S.",
"Yang, X.","Yang, X.",
"Zhao, D.","Zhao, D.",
"Xia, J.","Xia, J.",
Deep-learning post-processing of short-term station precipitation based on NWP forecasts,基于数值天气预报预报的短期站点降水深度学习后处理,
Atmos. Res.,大气研究,
Optuna.integration.lightgbm.lightgbmtuner,Optuna.integration.lightgbm.LightGBMTuner,
"Peng, T.","Peng, T.",
"Zhi, X.","Zhi, X.",
"Ji, Y.","Ji, Y.",
"Ji, L.","Ji, L.",
"Tian, Y.","Tian, Y.",
Atmosphere,大气,
Welcome to RISH www data server,欢迎访问RISH网站数据服务器,
"Rojas-Campos, A.","Rojas-Campos, A.",
"Wittenbrink, M.","Wittenbrink, M.",
"Nieters, P.","Nieters, P.",
"Schaffernicht, E.J.","Schaffernicht, E.J.",
"Keller, J.D.","Keller, J.D.",
"Pipa, G.","Pipa, G.",
Postprocessing of NWP precipitation forecasts using deep learning,使用深度学习对数值天气预报降水预报进行后处理,
Weather. Forecast.,天气与预报,
"Ross, B.C.","Ross, B.C.",
Mutual information between discrete and continuous data sets,离散和连续数据集之间的互信息,
PloS One,PLoS One,
"Salazar, A.A.","Salazar, A.A.",
"Che, Y.","Che, Y.",
"Zheng, J.","Zheng, J.",
"Xiao, F.","Xiao, F.",
"Multivariable neural network to postprocess short-term, hub-height wind forecasts",多变量神经网络后处理短期轮毂高度风速预报,
Energy Sci. Eng.,能源科学与工程,
"Shwartz-Ziv, R.","Shwartz-Ziv, R.",
"Armon, A.","Armon, A.",
Tabular data: Deep learning is not all you need,表格数据：深度学习并非万能,
Inf. Fusion,信息融合,
"Tang, R.","Tang, R.",
"Ning, Y.","Ning, Y.",
"Li, C.","Li, C.",
"Feng, W.","Feng, W.",
"Chen, Y.","Chen, Y.",
"Xie, X.","Xie, X.",
Sensors,传感器,
TensorFlow,TensorFlow,
"Tsipis, E.","Tsipis, E.",
"Banti, K.","Banti, K.",
"Louta, M.","Louta, M.",
"Dimokas, N.","Dimokas, N.",
Improving open weather prediction data accuracy using machine learning techniques,使用机器学习技术提高开放天气预报数据准确性,
"14th International Conference on Information, Intelligence, Systems & Applications",第14届信息、智能、系统与应用国际会议,
IEEE,IEEE,
"Xu, W.","Xu, W.",
"Ning, L.","Ning, L.",
"Luo, Y.","Luo, Y.",
"Yoshikane, T.","Yoshikane, T.",
"Yoshimura, K.","Yoshimura, K.",
PLoS Water,PLoS Water,
"Zhang, Y.","Zhang, Y.",
"Ye, A.","Ye, A.",
J. Hydrometeorol.,水文气象杂志,
temperature prediction,温度预测,
forecast-time spatial field,预报时间空间场,
lookback window,回溯窗口,
surface-level fields,地表场,
surface temperature,地表温度,
mean sea-level pressure,平均海平面气压,
surface wind components U and V,地表风分量U和V,
pressure-level temperature fields,气压层温度场,
upsampled,上采样,
Normalization,归一化,
MSM input data,MSM输入数据,
inverse normalization,逆归一化,
learning settings,学习设置,
optimizer,优化器,
batch size,批大小,
epochs,轮次,
early stopping,早停,
Evaluation metrics,评估指标,
Mean Error,平均误差,
model bias,模型偏差,
keras.layers,keras.layers,
K. Iwase and T. Takenawa,K. Iwase and T. Takenawa,
τ,阈值τ,
Tweedie loss function,Tweedie损失函数,
sample weight coefficients,样本权重系数,
Tweedie distribution,Tweedie分布,
exponential dispersion family,指数分散族,
dispersion parameter,分散参数,
Tweedie variance power,Tweedie方差幂,
hyperparameter,超参数,
sample weight function,样本权重函数,
monotonicity constraint,单调性约束,
ME,平均误差,
Itoigawa,Itoigawa,
paired t-test,配对t检验,
Wilcoxon signed-rank test,威尔科克森符号秩检验,
MAE,平均绝对误差,
standard deviation of the paired differences,配对差异标准差,
one-sided p-value,单侧p值,
FAR,FAR,
weighted Tweedie,加权特威迪模型,
post-processing model,后处理模型,
TS,临界成功指数,
precipitation events,降水事件,
heavy precipitation,强降水,
feature selection methods,特征选择方法,
February,二月,
0–3 h forecast interval,0-3小时预报时段,
18-h forecast lead time,18小时预报时效,
test data,测试数据,
Ashimine,Ashimine,
Uchinoura,Uchinoura,
typhoons,台风,
convective rainfall events,对流降水事件,
Kusatsu,Kusatsu,
Nobeyama,Nobeyama,
Niijima,Niijima,
Oma,Oma,
around_all_tune model,around_all_tune模型,
terrain categories,地形类别,
mountain,山地,
island,岛屿,
coastal/plain,沿海/平原,
Total cloud cover,总云量,
Low cloud cover,低云量,
Mid-level cloud cover,中层云量,
High cloud cover,高云量,
predictors,预测因子,
one-dimensional feature vectors,一维特征向量,
temporal window,时间窗口,
auxiliary scalar features,辅助标量特征,
hour of day,小时,
meteorological variable,气象变量,
logarithmic scale,对数尺度,
CNN model,CNN模型,
FS0 selection,FS0选择,
Adam optimizer,Adam优化器,
MSE,均方误差,
Root Mean Squared Error,均方根误差,
patience,耐心,
validation RMSE,验证RMSE,
skip connections,跳跃连接,
CNN architectures,CNN架构,
Tweedie model,Tweedie模型,
CRediT authorship contribution statement,CRediT作者贡献声明,
JMA guidance product MSMG,JMA指导产品MSMG,
2019–2023,2019–2023,
1826 days,1826天,
Forecast cycles per day,每日预报周期数,
3-hourly,3小时一次,
Lead times per cycle,每周期预报时效,
3–39 h,3–39小时,
Locations,地点,
Total rows,总行数,
"3,418,272","3,418,272",
missing observations,缺失观测,
decision tree-based models,基于决策树的模型,
training cost,训练成本,
performance scores,性能分数,
ensemble model,集成模型,
decision trees,决策树,
boosting algorithm,提升算法,
quadratic optimization method,二次优化方法,
multiple output variables,多输出变量,
patience of 10 epochs,耐心值10个周期,
Mean Squared Error (MSE),均方误差(MSE),
5702,5702,
training time,训练时间,
overfitting,过拟合,
correlation analysis method,相关分析方法,
Bedi and Toshniwal (2018),Bedi和Toshniwal (2018),
pairwise absolute Pearson correlations,成对绝对皮尔逊相关性,
candidate features,候选特征,
redundancies,冗余,
Table 1,表1,
Altitude,海拔,
Station number,站点编号,
Minamiaso,Minamiaso,
Uwano,Uwano,
koge,koge,
Statistical tests,统计检验,
paired absolute errors,配对绝对误差,
mean absolute errors,平均绝对误差,
MAEs,平均绝对误差,
sample size,样本量,
error metrics,误差指标,
forecast skill,预报技巧,
precipitation threshold,降水阈值,
binary events,二元事件,
hits,命中,
misses,漏报,
false alarms,虚警,
Fig. 5,图5,
numerical weather prediction (NWP) models,数值天气预报(NWP)模型,
forecast accuracy,预报精度,
residual errors,残差,
base NWP,基础NWP,
corrected predictions,修正后的预测,
forecast uncertainty,预报不确定性,
selected around_all_tune model,selected around_all_tune模型,
forecast horizons,预报时效,
Scatter plots,散点图,
observations,观测值,
model outputs,模型输出,
test period,测试期,
lead times,超前时间,
site dependent behavior,站点依赖行为,
Table 10,表10,
Site-wise precipitation verification metrics,站点降水验证指标,
frequency matching,频率匹配,
odel,odel,
training set,训练集,
2019–2021,2019–2021,
validation set,验证集,
2022,2022年,
test set,测试集,
2023,2023年,
forecast cycles,预报周期,
input configuration,输入配置,
SDdiff,差异标准差,
p-values,p值,
1grid,单网格模型,
around,周围网格数据,
nn,神经网络,
all,全部数据,
pcc,皮尔逊相关系数法,
mi,互信息法,
mutual information method,互信息方法,
gbm,梯度提升模型,
tune,参数调优,
Precip.,降水,
Temp.,气温,
Wind,风速,
Meteorological elements,气象要素,
names,名称,
units,单位,
surface,地面,
pressure levels,气压层,
850 hPa,850百帕,
500 hPa,500百帕,
200 hPa,200百帕,
Hourly precipitation,小时降水量,
Prediction-time-based results,基于预测时间的结果,
Table 8,表8,
Event-based verification metrics,基于事件的验证指标,
LightGBM-based post-processing model,基于LightGBM的后处理模型,
training samples,训练样本,
validation samples,验证样本,
test datasets,测试数据集,
prediction point,预测点,
Train samples,训练样本,
Test samples,测试样本,
Original features,原始特征,
Dropped features,丢弃的特征,
Ashimin,Ashimin,
Padding2D,2D填充,
Conv2D,2D卷积,
MaxPooling2D,2D最大池化,
BatchNormalization,批量归一化,
Activation,激活,
relu,ReLU,
Dense,全连接层,
FC1,FC1,
FC2,FC2,
kernel_size,卷积核大小,
Kamaishi,釜石市,
eyama Niijima,新岛惠山,
tujido,辻堂,
U wind component,U风分量,
V wind component,V风分量,
Vertical velocity,垂直速度,
Surface pressure,地面气压,
Sea level pressure,海平面气压,
Imabari,今治,
Sakai,堺,
Kuwana,桑名,
weighted,加权,
